M14449.0	또는 맹획대를 7번 괴멸시킨다
M15751.1	{V:02DA} 님의 지도 방식에도⏎문제가 있다고⏎생각합니다
M15752.0	애송이가 무슨 소리냐⏎그런 말은⏎한 사람 몫을 하거든 해라
M15755.0	애송이가 무슨 소리냐⏎그런 말은⏎한 사람 몫을 하거든 해라
M15752.1	아직 풋내기인 주제에⏎그런 식으로 말하다니⏎건방진 녀석!
M15755.1	아직 풋내기인 주제에⏎그런 식으로 말하다니⏎건방진 녀석!
M15753.0	그렇게 말할 거라면⏎먼저 성과부터 보여 주세요
M15756.0	그렇게 말할 거라면⏎먼저 성과부터 보여 주세요
M15753.1	뭐라고요!⏎아직 풋내기인 주제에⏎그런 식으로 말하다니……
M15756.1	뭐라고요!⏎아직 풋내기인 주제에⏎그런 식으로 말하다니……
M15754.0	저 역시⏎{V:02DA} 님께 의지하지 않고⏎제 힘으로 해내 보이겠습니다!
M15757.0	그렇게까지 말씀하실 것은……⏎의욕이 사라졌습니다
M15757.1	……⏎저는 무엇을 위해⏎수행을 하고 있는 걸까요
M15758.0	{C:25b}{V:79}{C:32b},⏎아직 그 정도냐⏎갈 길이 멀다
M15758.1	{C:25b}{V:79}{C:32b},⏎약한 소리 하기는 이르다⏎이제부터가 진짜다
M15759.0	{C:25b}{V:79}{C:32b},⏎아직 수행이 한참 부족해요⏎처음부터 다시 해 오세요
M15759.1	{C:25b}{V:79}{C:32b},⏎아직 그 정도예요?⏎갈 길이 멀어요
M15760.0	이 정도쯤이야⏎이를 악물고서라도⏎성과를 내 보이겠습니다
M15760.1	이런 일로는⏎꺾이지 않습니다!
M15761.0	{C:25b}{V:79}{C:32b},⏎네 힘은 고작 그 정도냐⏎한심하구나
M15761.1	{C:25b}{V:79}{C:32b},⏎더 잘할 수 있지 않느냐⏎왜 긴장을 푸느냐!
M15762.0	{C:25b}{V:79}{C:32b},⏎좀 더 힘을 쏟아 수행하세요⏎한심하네요
M15762.1	{C:25b}{V:79}{C:32b},⏎그대의 수행은 그 정도예요?⏎한심하군요
M15763.0	이렇게까지 해도⏎안 되는 겁니까……⏎저에게는 무리일지도 모릅니다
M15763.1	아무리 애써도⏎잘되지 않습니다⏎저는 자신감을 잃었습니다
M15764.0	{V:02DA} 님, 몸이 불편합니다⏎의욕은 있습니다만⏎몸이 따라 주지 않습니다……
M15764.1	{V:02DA} 님, 힘이 안 납니다⏎어쩐지 속이 메스꺼워서……
M15765.0	무리하지 마라⏎몸이 성해야 수행도 하는 거다⏎적당히 하고 그만두어라
M15765.1	무리하면 수행도⏎역효과가 날 수도 있다⏎적당히 하도록 해라
M15766.0	무리하면 수행도⏎역효과가 날 수도 있어요⏎적당히 하세요
M15766.1	무리하지 마세요⏎몸이 성해야 수행도 하니까⏎적당히 하고 그만두는 거예요
M15767.0	{V:02DA} 님, 죄송합니다⏎열이 있는 것 같습니다⏎머리가 어질어질해서……
M15767.1	{V:02DA} 님, 죄송합니다⏎숨이 가빠서⏎당장 쓰러질 것 같습니다……
M15768.0	그럴 때는 쉬어라⏎몸을 상하면⏎아무 소용 없다
M15768.1	무리하지 말고⏎푹 쉬도록 해라⏎수행은 언제든 할 수 있다
M15769.0	무리하지 말고⏎푹 쉬세요⏎수행은 언제든 할 수 있어요
M15769.1	그럴 때는 쉬세요⏎몸을 상하면⏎아무 소용 없어요
M15770.0	{C:25b}{V:79}{C:32b},⏎몸은 좀 어떠냐
M15771.0	{C:25b}{V:79}{C:32b},⏎몸은 좀 어때요?
M15772.0	덕분에⏎한결 좋아지고⏎있습니다
M15773.0	{V:02DA} 님!⏎{C:25b}{V:7A}{C:32b} 병법을⏎완전히 체득했습니다!
M15773.1	{V:02DA} 님의 지도 덕분에⏎{C:25b}{V:7A}{C:32b} 병법을⏎터득했습니다!
M15774.0	잘했다⏎이것도 네가⏎정진한 결실이다
M15774.1	네가 이만큼 해낼 줄이야……⏎나도 기쁘구나
M15775.0	잘했어요⏎이것도 그대가⏎정진한 결실이에요
M15775.1	{C:25b}{V:79}{C:32b}의 노력이 보상받아서⏎나도 내 일처럼⏎기뻐요
M15776.0	너와 함께 갈고닦아⏎나도 {C:25b}{V:7A}{C:32b} 병법을 익혔다⏎참으로 기쁘구나
M15776.1	나도 {C:25b}{V:7A}{C:32b} 병법을 익혔다⏎너와 함께한 고생은⏎헛되지 않았구나
M15777.0	나도 {C:25b}{V:7A}{C:32b} 병법을 익혔으니⏎그대와 함께한 고생은⏎헛되지 않았네요
M15777.1	그대와 함께 갈고닦아서⏎나도 {C:25b}{V:7A}{C:32b} 병법을 익혔어요
M15778.0	{C:25b}{V:79}{C:32b} 병사와 {V:01DA}⏎모두 {C:25b}{V:7A}{C:32b} 병법 습득
M15980.0	{C:25b}{V:79}{C:32b} 병사와 {V:01DA}⏎모두 {C:25b}{V:7A}{C:32b} 병법 습득
M15779.0	{C:25b}{V:79}{C:32b} 병사가 {C:25b}{V:7A}{C:32b} 병법 습득
M15780.0	{C:25b}{V:79}{C:32b}, 가르친 대로⏎내 앞에서 {C:25b}{V:7A}{C:32b} 병법을⏎보여 보아라
M15781.0	{C:25b}{V:79}{C:32b}, 가르친 대로⏎내 앞에서 {C:25b}{V:7A}{C:32b} 병법을⏎보여 주세요
M15782.0	예!
M15783.0	……⏎훌륭하다, 나무랄 데가 없구나⏎{C:25b}{V:7A}{C:32b} 병법을 잘 익혔구나
M15783.1	음, {C:25b}{V:7A}{C:32b} 병법을 터득했군⏎내 가르침을⏎훌륭히 몸에 익혔구나
M15784.0	……훌륭해요⏎{C:25b}{V:7A}{C:32b} 병법을 잘 익혔네요
M15784.1	{C:25b}{V:7A}{C:32b} 병법을 터득했네요⏎내 가르침을⏎훌륭히 몸에 익혔어요
M15785.0	이것은 모두 {V:02DA} 님의⏎지도 덕분입니다⏎감사드립니다
M15785.1	{V:02DA} 님께는⏎감사한 마음뿐입니다⏎애쓴 보람이 있었습니다
M15786.0	{C:25b}{V:79}{C:32b}, 내가 보기에⏎수행은 아직 도중이다⏎이대로 끝낼 수는 없다
M15786.1	{C:25b}{V:79}{C:32b},⏎너에게는 아직⏎단련할 여지가 있다
M15787.0	{C:25b}{V:79}{C:32b},⏎그대에게는 아직⏎단련할 여지가 있어요
M15787.1	{C:25b}{V:79}{C:32b}, 내가 보기에⏎수행은 아직 도중이에요⏎여기서 끝내기는 아까워요
M15788.0	후회가 남지 않도록⏎좀 더 수행하지 않겠느냐
M15788.1	{C:25b}{V:79}{C:32b}, 나로서도 떳떳하게⏎너를 내보내고 싶다⏎계속 단련해야 한다
M15789.0	{C:25b}{V:79}{C:32b}, 나로서도 떳떳하게⏎그대를 내보내고 싶어요⏎계속 단련해 줘야겠어요
M15789.1	후회가 남지 않도록⏎조금 더⏎수행을 계속해 볼래요?
M15790.0	저야말로 부탁드립니다⏎저 자신을 높이기 위해서라면⏎노력을 아끼지 않겠습니다
M15790.1	저도 부탁드리려고⏎생각하던 참이었습니다⏎열심히 수행하겠습니다
M15791.0	{V:02DA} 님,⏎다른 스승 밑에서 수행하고자⏎청을 드리러 왔습니다
M15791.1	죄송합니다⏎다른 분을 제 스승으로⏎정해 주실 수 없겠습니까
M15792.0	내가 임명한 {V:02DA}에게⏎불만이라도 있느냐?
M15792.1	{V:02DA} 장군은⏎잘하고 있다고 생각하는데……⏎어디가 문제라는 거냐
M15793.0	내가 임명한 {V:02DA}에게⏎불만이라도 있나요?
M15793.1	{V:02DA} 장군은⏎잘하고 있다고 생각하는데……⏎어디가 문제라는 거죠
M15794.0	제 견식을 넓히기 위해⏎여러 스승 밑에서 배우며⏎갈고닦고 싶습니다
M15794.1	많은 사람에게서 배우고 싶다⏎제가 바라는 것은⏎그것뿐입니다
M15795.0	……좋다⏎후임을 정하도록 하지⏎{V:02DA} 장군은 낙심하겠구나
M15796.0	……좋아요⏎후임을 정하지요⏎{V:02DA}에겐 미안하지만……
M15797.0	자신의 미숙함은 제쳐 두고⏎바라는 것을 입에 올리다니⏎당치도 않은 생각이다!
M15797.1	이 미숙한 녀석!⏎그런 생각으로⏎수행을 끝마칠 수 있겠느냐!
M15798.0	자기 처지도 모르고⏎건방진 소리를……⏎처음부터 다시 하세요!
M15798.1	그런 말은⏎한 사람 몫을 하게 되거든⏎말하세요!
M15799.0	죄송합니다⏎다시 수행하고 오겠습니다
M15799.1	제 생각이 짧았습니다⏎죄송합니다
M15800.0	제 부족함을 절감했습니다⏎{C:25b}{V:79}{C:32b}의 지도는 무리입니다
M15800.1	남을 가르칠 만한 힘이⏎제게는 없었습니다⏎이 소임을 내려놓겠습니다
M15801.0	무슨 소리인가, 자네에게는⏎충분한 힘이 있네⏎다시 생각해 주게
M15801.1	모처럼 여기까지⏎해 오지 않았는가⏎다시 생각할 마음은 없는가
M15802.0	모처럼 여기까지⏎해 왔는데……⏎다시 생각해 볼 마음은 없나요
M15802.1	무슨 소리예요⏎그대에겐 충분한 힘이 있어요⏎계속 맡아 줄 수 없을까요
M15803.0	저 같은 사람보다⏎적임자가 있을 것입니다
M15803.1	저 같은 미숙한 사람 밑에서는⏎{C:25b}{V:79}{C:32b} 병사가 가엾습니다
M15804.0	……⏎어쩔 수 없군⏎후임을 정하도록 하지
M15805.0	……⏎어쩔 수 없네요⏎후임을 정하지요
M15806.0	말씀드리겠습니다⏎{V:02DA} 님의 지도에는⏎더는 따라갈 수 없습니다
M15806.1	더 이상⏎{V:02DA} 님 밑에서⏎수행할 수 없습니다
M15807.0	{C:25b}{V:79}{C:32b},⏎매사에 불만은 있는 법이다⏎참는 것도 수행의 하나다
M15808.0	{C:25b}{V:79}{C:32b}, 진정하세요⏎그렇게 쉽게⏎포기해도 되는 건가요
M15808.1	{C:25b}{V:79}{C:32b},⏎매사에 불만은 있는 법이에요⏎참는 것도 수행의 하나지요
M15809.0	{V:02DA} 님의 방식은⏎너무 제멋대로여서⏎휘둘리기만 합니다
M15809.1	{V:02DA} 님과는 안 맞습니다⏎무엇을 하든⏎지치기만 하고……
M15810.0	지금까지 신세 많이 졌습니다⏎저에 대해서는⏎잊어 주십시오
M15810.1	{V:02DA} 님과도 작별입니다⏎찾지 말아 주십시오
M15811.0	내 방식이⏎강압적이었던 것 같구나⏎앞으로는 고치도록 하마
M15811.1	너에게 무리한 요구를⏎너무 많이 한 것 같구나⏎다시 생각해 보마
M15812.0	내 방식이⏎강압적이었던 것 같네요⏎앞으로는 고칠게요
M15812.1	그대에게 무리한 요구를⏎너무 많이 한 것 같네요⏎다시 생각해 볼게요
M15813.0	{V:02DA} 님,⏎고향 부친이 병으로 쓰러져⏎위로해 드리러 가고 싶습니다
M15813.1	{V:02DA} 님,⏎고향 집이 재해를 입었습니다⏎잠시 말미를 주시겠습니까
M15814.0	그거 걱정이구나⏎수행은 언제든 할 수 있다⏎가 보도록 해라
M15815.0	그거 큰일이네요⏎어서 가 보세요
M15816.0	감사합니다⏎되도록 빨리 돌아오겠습니다
M15817.0	{V:02DA} 님,⏎한동안 길을 떠나겠습니다⏎허락해 주십시오
M15817.1	{V:02DA} 님, 이곳을 떠나⏎여러 곳을 돌아보겠습니다⏎허락해 주십시오
M15818.0	갑자기 무슨 소리를 하는 게냐
M15818.1	무슨 불만이라도 있느냐?
M15819.0	갑자기 왜 그래요?
M15819.1	무슨 불만이라도 있나요?
M15820.0	수행을 하는 동안⏎제게 부족한 것은⏎견식이라는 걸 깨달았습니다
M15820.1	제 한계를 넘으려면⏎바깥세상을 보아야 한다고⏎마음먹었기 때문입니다
M15821.0	지금 여기서 그만두면⏎무엇을 위해 고생했는지⏎모르게 되지 않느냐
M15821.1	지금 여기서 떠나면⏎지금까지의 수행이⏎헛수고가 된다
M15822.0	지금 여기서 그만두면⏎무엇을 위해 고생했는지⏎모르게 되잖아요
M15822.1	지금 여기서 떠나면⏎지금까지의 수행이⏎헛수고가 돼요
M15823.0	{V:02DA} 님,⏎저의 제멋대로인 부탁을⏎용서해 주십시오
M15823.1	{V:02DA} 님,⏎지금까지의 수행은⏎결코 헛되이 하지 않겠습니다
M15824.0	……알았다⏎네 뜻대로 하거라
M15824.1	그런가……⏎가는 길에 괴로운 일이 있으면⏎수행하던 나날을 떠올려라
M15825.0	……알겠어요⏎{C:25b}{V:79}{C:32b}의 뜻대로 하세요
M15825.1	……알았어요⏎그대가 믿는 길을⏎나아가세요
M15826.0	난세를 끝내기 위해⏎함께 싸우자고 맹세한 것을⏎잊었느냐
M15826.1	여기서 도망친다면⏎너는 두 번 다시⏎고개를 들고 다닐 수 없다
M15827.0	여기서 도망친다면⏎그대는 두 번 다시⏎고개를 들고 다닐 수 없어요
M15827.1	난세를 끝내기 위해⏎함께 싸우자고 맹세한 것을⏎잊었나요?
M15828.0	……죄송합니다⏎제가 생각을 잘못했습니다⏎호되게 단련해 주십시오
M15828.1	방금 말씀에 눈이 뜨였습니다⏎더 높은 경지를 향해⏎수행하고자 합니다
M15829.0	{C:25b}{V:79}{C:32b},⏎정신을 딴 데 팔고 있구나⏎의욕이 있는 거냐!
M15829.1	뭐냐, 그 눈빛은⏎내 방식에⏎불만이라도 있느냐!
M15830.0	이봐요, {C:25b}{V:79}{C:32b}!⏎대충 하려는 마음으로⏎수행하고 있죠!
M15830.1	{C:25b}{V:79}{C:32b}!⏎몇 번을 말해야 알아듣겠어요!
M15831.0	무엇이 잘못됐다는 겁니까?⏎저 나름대로 있는 힘껏⏎노력하고 있다고 생각합니다
M15831.1	저도⏎열심히 하고 있단 말입니다⏎그렇게 말씀하지 않으셔도……
M15832.0	시끄럽다!⏎그런 마음가짐으로⏎수행을 끝마칠 수 있겠느냐!
M15832.1	무슨 소리냐!⏎의욕이 없다면⏎분명히 그렇게 말해라
M15833.0	응석 부리는 소리 마세요!⏎의욕이 없다면⏎분명히 그렇다고 말하세요
M15833.1	입 다무세요!⏎그런 어설픈 마음으로⏎수행하지 않았으면 해요
M15834.0	윽……⏎이런 짓을 하고⏎무사할 줄 알지 마라!
M15834.1	크헉⏎그 정도 솜씨로⏎우쭐대지 마라!
M15835.0	아얏……⏎나한테 대들 셈이군요⏎두고 보세요!
M15835.1	윽, 수행하는 몸으로⏎스승에게 손을 대다니……⏎이게 무슨 짓이에요!
M15836.0	무엇이든 당신 말이⏎통한다고 생각하지 마십시오!
M15836.1	저도 각오하고 있습니다⏎언제든 상대해 드리겠습니다
M15837.0	윽……
M15838.0	이 아픔을⏎수행의 양식으로 삼아라!
M15838.1	이제 알겠느냐!⏎이것이 실력의 차이라는⏎것이다
M15839.0	이걸로 조금은⏎정신이 들었겠지요
M15839.1	분수를 알아야지요
M15840.0	그렇게 잘난 척하며⏎지내시면 되겠지요⏎당신에게는 실망했습니다
M15840.1	부, 분하다……⏎어째서 이런 꼴을……
M15841.0	오늘은 이 정도로⏎봐주마!
M15841.1	이번 일을 교훈 삼아⏎앞으로는 몸가짐을 조심해라!
M15842.0	다음에 또 대들면⏎가만두지 않을 거예요!
M15842.1	앞으로도 엄하게 단련할 테니⏎그리 알고 각오하세요!
M15843.0	조금은 반성이라는 것을⏎해 보시는 게 어떻습니까!
M15843.1	당신은 남의 마음을⏎모르는 겁니까!
M15844.0	{V:02DA} 님,⏎{C:25b}{V:79}{C:32b}의 수행 성과를⏎보고드리겠습니다
M15845.0	{C:25b}{V:79}{C:32b}의 지도 성과를⏎여기서 되돌아보도록 하지
M15846.0	{C:25b}{V:79}{C:32b}의 지도 성과를⏎여기서 되돌아보도록 하지요
M15847.0	{C:25b}{V:79}{C:32b}의 성과 보고
M15849.0	{V:7A} 면에서⏎{C:25b}{V:79}{C:32b}의 성장은⏎괄목할 만합니다
M15850.0	{C:25b}{V:79}{C:32b}의 {V:7A} 성과는⏎생각 이상이었다
