# 라벨 번역 3
子午谷	자오곡
燕人・張飛の子。	연인 장비의 아들.
硬骨の老将・黄忠の子。	꼿꼿한 노장 황충의 아들.
闘将・趙雲の子。	투장 조운의 아들.
西涼の錦・馬超の子。	서량의 금마초 마초의 아들.
策士・徐庶の子。	책사 서서의 아들.
南蛮王・孟獲の子。	남만왕 맹획의 아들.
飛将・呂布の子。	비장 여포의 아들.
魏王・曹操の子。	위왕 조조의 아들.
黄鬚児・曹彰の子。	황수아 조창의 아들.
魏帝・曹丕の子。	위제 조비의 아들.
悪来・典韋の子。	악래 전위의 아들.
虎痴・許{U:F05D}の子。	호치 허저의 아들.
江東の虎・孫堅の子。	강동의 호랑이 손견의 아들.
小覇王・孫策の子。	소패왕 손책의 아들.
呉帝・孫権の子。	오제 손권의 아들.
呉の名将・周瑜の子。	오의 명장 주유의 아들.
呉の名将・陸遜の子。	오의 명장 육손의 아들.
大賢良師・張角の子。	대현양사 장각의 아들.
暴君・董卓の子。	폭군 동탁의 아들.
白馬将軍・公孫{U:F040}の子。	백마장군 공손찬의 아들.
名士・劉表の子。	명사 유표의 아들.
名士・袁紹の子。	명사 원소의 아들.
偽帝・袁術の子。	위제 원술의 아들.
{V:02DA}の娘。	{V:02DA}의 딸.
{V:02DA}の子。	{V:02DA}의 아들.
後漢末期の将。	후한 말기의 장수.
三国時代の将。	삼국시대의 장수.
&{V:01F7}その類いまれなる才能から仙女と称される。	&{V:01F7}보기 드문 재능으로 선녀라 불린다.
&{V:01F6}その比類なき才能から仙人と称される。	&{V:01F6}비할 데 없는 재능으로 신선이라 불린다.
百年に一人の逸材と称される稀代の英雄。	백 년에 한 명 나올 인재라 불리는 희대의 영웅.
政戦両略に通じる万能の天才。	정치와 전략에 두루 능한 만능 천재.
中国史上に冠絶する最強の武人。	중국 역사상 으뜸가는 최강의 무인.
中国史上に冠絶する常勝将軍。	중국 역사상 으뜸가는 상승장군.
中国史上に冠絶する最強の軍師。	중국 역사상 으뜸가는 최강의 군사.
中国史上に冠絶する政治家。	중국 역사상 으뜸가는 정치가.
歴史にその名を轟かせる戦争の天才。	역사에 이름을 떨친 전쟁의 천재.
名将の名を欲しいままにする用兵家。	명장의 이름을 떨치는 용병가.
軍神の再来として敵味方から畏れ敬われる。	군신의 재래로 적과 아군 모두에게 경외받는다.
知勇兼備の名将と称される。	지용을 겸비한 명장이라 불린다.
軍事面で比類ない才能を誇る。	군사 면에서 비할 데 없는 재능을 지녔다.
万夫不当の猛将。	만부부당의 맹장.
鬼謀百出の軍師として名を馳せる。	귀모백출의 군사로 이름을 떨친다.
武勇と知謀の均衡が取れた良将。	무용과 지모를 고루 갖춘 양장.
内政、軍略に通じた参謀として名をあげる。	내정과 군략에 능한 참모로 이름을 알린다.
&{V:01F7}戦いの女神と称される。	&{V:01F7}전쟁의 여신이라 불린다.
&{V:01F6}多くの戦いに参加し、武勲をあげる。	&{V:01F6}많은 전투에 참가해 무훈을 세운다.
虎殺しの異名を持つ猛者。	호랑이 사냥꾼이라 불리는 용사.
この時代を代表する策士の一人。	이 시대를 대표하는 책사 중 한 명.
内政面に優れ、後方支援に欠かせぬ存在。	내정에 뛰어나 후방 지원에 없어선 안 될 존재.
用兵術に長け、数多の功績をあげる。	용병술에 뛰어나 수많은 공을 세운다.
{X:9104}=2敵の虚をつく用兵を得意とする。	{X:9104}=2적의 허를 찌르는 용병에 능하다.
一騎当千の勇将。	일기당천의 용장.
一騎討ちで武勲を重ねた急先鋒。	일기토로 무훈을 쌓은 선봉장.
陣頭での指揮を得意とする将軍。	진두지휘에 능한 장군.
権謀術数を得意とする策士。	권모술수에 능한 책사.
内政面の職務能力に長けている。	내정 실무 능력이 뛰어나다.
分野を問わずそつなく成果を上げる。	분야를 가리지 않고 무난히 성과를 낸다.
部隊長として数々の戦いに名を連ねる。	부대장으로 여러 전투에 이름을 올린다.
先陣を務めた武将の一人。	선진을 맡았던 무장 중 한 명.
内政官を担当した。	내정관을 맡았다.
計略に通じた知者。	계략에 능한 지자.
生まれてくる時代を間違えた凡人と呼ばれる。	태어날 시대를 잘못 만난 범인이라 불린다.
能力面で特筆するものはないが、憎めない存在。	능력은 평범하지만 미워할 수 없는 존재.
自ら進んで陣頭に立ち部下から慕われた	스스로 진두에 서서 부하들의 신망을 얻었다
己の栄達のためには他を省みぬ野心家	자신의 영달을 위해 남을 돌보지 않는 야심가
闘争心あふれる激しい気性の持ち主	투쟁심 넘치는 격한 기질의 소유자
荒々しい性格だが礼節をわきまえている	거친 성격이지만 예절을 안다
自信家で大きな野望を抱いている	자신만만하며 큰 야망을 품고 있다
豪快で竹を割ったような性格	호쾌하고 시원시원한 성격
寡黙だが内に大きな野望を秘めている	과묵하지만 안에 큰 야망을 품고 있다
公明正大で落ち着いた性格	공명정대하고 침착한 성격
何が起こっても動じない性格	무슨 일이 있어도 흔들리지 않는 성격
度量に比して大きすぎる野心を抱く	그릇에 비해 지나치게 큰 야심을 품었다
争いを嫌い、平和の到来を待望している	다툼을 싫어해 평화가 오기를 바란다
何事にも石橋を叩いて渡る慎重さで臨む	무슨 일이든 돌다리도 두들겨 보는 신중함으로 임한다
無類の酒好きで酒宴では人気者	둘째가라면 서러운 술꾼으로 술자리의 인기인
情報を見るアイテムを選んでください	정보를 볼 아이템을 선택하십시오
アイテムの詳細情報です	아이템의 상세 정보입니다
どちらの登録武将データを読み込みますか？	어느 쪽 등록무장 데이터를 불러오시겠습니까?
{V:01DA}の登録に失敗しました	{V:01DA}의 등록에 실패했습니다
インストールに失敗しました	설치에 실패했습니다
親にできる武将がいません	부모로 삼을 수 있는 무장이 없습니다
{C:25b}{V:01DA}{C:32b}が登録されました！	{C:25b}{V:01DA}{C:32b}, 등록되었습니다!
相国（政事最高職）を決めてください	상국(정사 최고직)을 정하십시오
大元帥（軍事最高職）を決めてください	대원수(군사 최고직)를 정하십시오
西域都護（西方運営担当者）を決めてください	서역도호(서방 운영 담당)를 정하십시오
後継者を決めてください	후계자를 정하십시오
腰から下げる香薬入れ	허리에 차는 향약 주머니
趣のある宝物	운치 있는 보물
価値の低い宝物	가치가 낮은 보물
珍しい宝物	진귀한 보물
珍しい装飾	진귀한 장식품
珍しい品	진귀한 물건
{U:F04B}州・冀州を中心とする国	연주・기주를 중심으로 한 나라
益州南部を中心とする国	익주 남부를 중심으로 한 나라
揚州東部を中心とする国名	양주 동부를 중심으로 한 나라
袁術が興した国	원술이 세운 나라
東海の島国	동해의 섬나라
幽州北部に割拠する異民族	유주 북부에 할거한 이민족
雍・涼州に割拠する異民族	옹주・양주에 할거한 이민족
揚州南部に割拠する異民族	양주 남부에 할거한 이민족
益州南部に割拠する異民族	익주 남부에 할거한 이민족
張角が結成した反乱軍	장각이 결성한 반란군
幽州を中心とする国	유주를 중심으로 한 나라
并・冀州を中心とする国	병주・기주를 중심으로 한 나라
青・徐州を中心とする国	청주・서주를 중심으로 한 나라
豫・徐州を中心とする国	예주・서주를 중심으로 한 나라
荊・揚州を中心とする国	형주・양주를 중심으로 한 나라
涼州を中心とする国	양주(涼)를 중심으로 한 나라
揚州南部を中心とする国	양주 남부를 중심으로 한 나라
雍州を中心とする国	옹주를 중심으로 한 나라
司隷を中心とする国	사례를 중심으로 한 나라
中原一帯を中心とする国	중원 일대를 중심으로 한 나라
中国の支配者。始皇帝が新設	중국의 지배자. 시황제가 신설
君主の称号。皇帝より一等下	군주의 칭호. 황제보다 한 등급 아래
周が諸侯に与えた爵位の第一位	주나라가 제후에게 준 작위의 첫째
軍事の最高職。三公の上	군사의 최고직. 삼공의 위
反逆者討伐の将軍。三公の上	반역자 토벌의 장군. 삼공의 위
光禄勲に属する高級近衛武官	광록훈에 속한 고급 근위무관
州の監察を司る。九卿の下	주의 감찰을 맡는다. 구경의 아래
州の軍政を司る。九卿の下	주의 군정을 맡는다. 구경의 아래
皇帝を補佐する執政官の最高位	황제를 보좌하는 집정관의 최고위
土木事業を司る長官。三公	토목 사업을 맡는 장관. 삼공
軍事全般を司る長官。三公	군사 전반을 맡는 장관. 삼공
民政全般を司る長官。三公	민정 전반을 맡는 장관. 삼공
軍の非常職。裁量権を有す	군의 비상직. 재량권을 지닌다
武官の最高位。三公に次ぐ	무관의 최고위. 삼공 다음
天子の宿衛を司る長官。九卿	천자의 숙위를 맡는 장관. 구경
国家の財政を司る長官。九卿	국가의 재정을 맡는 장관. 구경
宮殿警備を司る長官。九卿	궁전 경비를 맡는 장관. 구경
国家の司法を司る長官。九卿	국가의 사법을 맡는 장관. 구경
青・{U:F04B}・徐・揚州を統べる将軍	청・연・서・양주를 통솔하는 장군
雍・涼州を統べる将軍	옹・양주를 통솔하는 장군
荊・豫州を統べる将軍	형・예주를 통솔하는 장군
幽・冀・并州を統べる将軍	유・기・병주를 통솔하는 장군
文書を司る長官。九卿と同格	문서를 맡는 장관. 구경과 동격
天子の車馬を司る長官。九卿	천자의 거마를 맡는 장관. 구경
宗廟の祭祀を司る長官。九卿	종묘 제사를 맡는 장관. 구경
功臣に与えられる名誉職	공신에게 주는 명예직
四征将軍に次ぐ将軍位	사정장군 다음의 장군직
詔勅政令を司る長官	조칙과 정령을 맡는 장관
官吏の監察・弾劾を司る長官	관리의 감찰・탄핵을 맡는 장관
首都の治安を司る長官。九卿	수도의 치안을 맡는 장관. 구경
宮中の衣食を司る長官。九卿	궁중의 의식을 맡는 장관. 구경
四鎮将軍に次ぐ将軍位	사진장군 다음의 장군직
宮中の図書を司る長官	궁중의 도서를 맡는 장관
天子の下問に備える側近	천자의 하문에 대비하는 측근
丞相出征時の留守を務める	승상 출정 때 본거를 지킨다
五経を官吏の子弟に教育する	오경을 관리 자제에게 가르친다
四安将軍に次ぐ将軍位	사안장군 다음의 장군직
高官の任命・百官の序列を司る	고관 임명과 백관 서열을 맡는다
軍を司り、諸郡の治安にあたる	군을 맡아 여러 군의 치안을 담당
侍中の下で尚書奏事を処理する	시중 아래에서 상서의 상주를 처리
史書の編纂を司る	역사서 편찬을 맡는다
雑号将軍の１つ	잡호장군의 하나
雑号将軍の１つ。孫堅が就任	잡호장군의 하나. 손견이 취임
雑号将軍の１つ。孫策が就任	잡호장군의 하나. 손책이 취임
朝廷発布の文書を起草する	조정이 반포하는 문서를 기초한다
各府に属し、謀議に参与する	각 부에 속해 모의에 참여한다
各府に属し、官吏を取り仕切る	각 부에 속해 관리를 통솔한다
各府に属し、兵を管理する	각 부에 속해 병사를 관리한다
祭祀の時に宴の音楽を司る	제사 때 잔치의 음악을 맡는다
地方からの穀物を受納する	지방에서 오는 곡물을 받는다
執金吾に属し、武器を整える	집금오에 속해 무기를 정비한다
衛尉に属し、衛士を統べる	위위에 속해 위사를 통솔한다
将軍出征の時に置かれる非常職	장군 출정 때 두는 비상직
各府に属し、庶務を取り仕切る	각 부에 속해 서무를 도맡는다
天子の顧問応対を行う	천자의 자문에 응대한다
庶殿門を宿衛する	궁전의 문을 숙위한다
将軍に次ぐ武官職の１つ	장군 다음가는 무관직의 하나
委任	위임
委任内容	위임내용
委任方針	위임방침
授与	수여
没収	몰수
処断	처단
追放	추방
徴兵	징병
移動	이동
探索	탐색
登用	등용
偽報	위보
流言	유언
要請	요청
返還	반환
数値入力	수치입력
捕虜処遇	포로처우
シナリオ選択	시나리오선택
勢力選択	세력선택
新勢力作成	신세력작성
環境設定	환경설정
ロード	로드
新武将登録	신무장등록
武将作成	무장작성
ムービー鑑賞	동영상 감상
ＢＧＭ鑑賞	ＢＧＭ 감상
あ行	목록1
アイテム	아이템
一騎討ち	일기토
一般	일반
雲梯	운제
か行	목록2
潰走	궤주
顔	얼굴
環境	환경
関係	관계
鬼人	귀인
騎兵系兵法	기병계 병법
金支出	금지출
血縁武将	혈연무장
険悪	험악
元戎	원융
好意	호의
効果音	효과음
交戦	교전
剛胆	대담
さ行	목록3
使者	사자
施設攻略	시설공략
シナリオ	시나리오
死亡	사망
守備重視	수비중시
新勢力	신세력
慎重	신중
信頼	신뢰
姓・名・字	성・명・자
勢力打倒	세력타도
狙撃	저격
た行	목록4
担当	담당
中立	중립
猪突	저돌
通常	일반
偵察	정찰
鉄騎	철기
藤甲	등갑
東西	동서
画面では、東は右下、西は左上です	화면에서는 동쪽이 오른쪽 아래, 서쪽이 왼쪽 위입니다
