movie	card	start_s	end_s	ja	ko
EVENT03	5	31.00	36.37	静かに頷きながら劉備を仰ぎ見る諸葛亮。	조용히 고개를 끄덕이며 유비를 우러러보는 제갈량.
EVENT03	6	36.43	43.03	今、劉備の時間が急速に動き始めようとしていた。	이제 유비의 시간이 빠르게 움직이기 시작하려 하고 있었다.
EVENT03	7	43.10	48.43	これが世に言う「三顧の礼」である。	이것이 이른바 「삼고초려」다.
EVENT04	0	1.37	5.70	袁紹軍の兵糧庫は烏巣にあり。	원소군의 군량고는 오소에 있다.
EVENT04	1	5.77	11.50	曹操軍に投降した許攸は、重大な情報をもたらした。	조조군에 투항한 허유는 중대한 정보를 가져왔다.
EVENT04	2	10.23	18.27	曹操は直ちに命を飛ばす。いざ、烏巣へ！	조조는 곧바로 명을 내린다. 자, 오소로!
EVENT04	3	17.07	23.43	曹操の精鋭は夜の森を駆け抜け、敵陣へとなだれ込んだ。	조조의 정예병은 밤의 숲을 내달려 적진으로 쏟아져 들어갔다.
EVENT04	4	23.50	28.23	慌てる袁紹軍を蹴散らし、一斉に火を放つ。	허둥대는 원소군을 짓밟고 일제히 불을 지른다.
EVENT04	5	28.30	34.70	容赦のない火炎が、精強を誇った軍勢を瞬く間に呑み込んだ。	사정없는 불길이 정예를 자랑하던 군세를 순식간에 집어삼켰다.
EVENT04	6	34.73	39.17	自らを照らす炎を、間近で見つめる曹操。	자신을 비추는 불꽃을 가까이서 바라보는 조조.
EVENT04	7	39.23	44.30	夜空に浮かぶ赤い影を呆然と眺める袁紹。	밤하늘에 떠오른 붉은 그림자를 망연히 바라보는 원소.
EVENT04	8	44.37	51.03	2人の表情は、この戦いの行く末を物語っていた。	두 사람의 표정은 이 싸움의 결말을 말해 주고 있었다.
EVENT05	0	1.37	4.83	長江の南岸に布陣する軍船。	장강 남쪽 기슭에 진을 친 군선.
EVENT05	1	4.90	9.93	その船の上から周瑜は対岸の陣営を見つめていた。	그 배 위에서 주유는 건너편 기슭의 진영을 바라보고 있었다.
EVENT05	2	10.00	17.93	火計こそ敵の大軍を破る唯一の策。ただ東南の風を待つのみ。	화공이야말로 적의 대군을 깨뜨릴 유일한 계책. 이제 동남풍을 기다릴 뿐.
EVENT05	3	18.00	24.97	……一瞬の静寂の後、風は向きを変え、軍旗を激しくあおった。	……한순간의 정적 뒤, 바람은 방향을 바꿔 군기를 거세게 펄럭였다.
EVENT05	4	27.57	33.47	周瑜は采配を振り下ろし、水軍を駆って対岸に襲いかかった。	주유는 지휘봉을 내리치며 수군을 몰아 건너편 기슭을 덮쳤다.
EVENT05	5	33.53	38.40	戦鼓が激しく打ち鳴らされ、無数の火矢が宙を舞う。	전고가 요란하게 울리고 무수한 불화살이 하늘을 난다.
EVENT05	6	38.47	43.40	船団は炎に包まれ、夕闇を赤く染め上げた。	선단은 불길에 휩싸여 저녁 어스름을 붉게 물들였다.
EVENT05	7	43.47	50.30	長江を下らんとした野望は焼き尽くされ、赤壁は伝説となった。	장강을 따라 내려가려던 야망은 모두 불타 버리고, 적벽은 전설이 되었다.
EVENT06	0	1.20	8.67	琅邪は、秦の始皇帝が巡幸中に好んで立ち寄った地として知られている。	낭야는 진나라 시황제가 순행 중에 즐겨 들렀던 곳으로 알려져 있다.
EVENT06	1	8.73	16.50	始皇帝は琅邪に台を築き遥か東海の彼方を遠望した。	시황제는 낭야에 누대를 쌓고 아득한 동해 저편을 바라보았다.
EVENT06	2	16.57	25.40	その視線は、仙人たちが住むという伝説の島・蓬莱を求め続けていた。	그 눈길은 신선들이 산다는 전설의 섬 봉래를 끝없이 찾고 있었다.
EVENT06	3	25.47	32.27	その島が今、霞がかった海上に浮かび上がる。	그 섬이 지금 안개 낀 바다 위로 떠오른다.
EVENT06	4	32.33	37.80	それは、蜃気楼でも、仙人の秘境でもない。	그것은 신기루도, 신선의 비경도 아니다.
EVENT06	5	37.87	43.73	東海に浮かぶ島国、未踏の地「倭」。	동해에 떠 있는 섬나라, 미지의 땅 「왜」.
EVENT06	6	43.80	48.03	彼の島には邪馬台国という国があり、	그 섬에는 야마타이국이라는 나라가 있고,
EVENT06	7	46.87	54.07	鬼道を操る女王が統治しているという……。	귀도를 부리는 여왕이 다스리고 있다고 한다…….
EVENT07	0	0.97	6.07	地上で最も天に近き霊峰・泰山。	땅 위에서 하늘과 가장 가까운 영봉, 태산.
EVENT07	1	6.13	11.63	万民を代表する皇帝が、天下泰平を天帝に報告し、	만백성을 대표하는 황제가 천하태평을 천제에게 고하고
EVENT07	2	11.70	15.70	自らの威を示す儀式が行われる場所である。	스스로의 위엄을 드러내는 의식을 치르는 곳이다.
EVENT07	3	15.77	21.53	秦の始皇帝、漢の武帝、後漢の光武帝。	진의 시황제, 한의 무제, 후한의 광무제.
EVENT07	4	21.60	27.17	古の帝王たちもここで、「封禅」の儀を執り行った。	옛 제왕들도 이곳에서 「봉선」 의식을 거행했다.
EVENT07	5	27.23	33.07	時を経て、聖なる山へ通じる道が、今開かれる。	세월이 흘러, 성스러운 산으로 이어지는 길이 지금 열린다.
EVENT07	6	33.13	38.03	雄大な山中を登り、頂に立つ新たな帝王。	웅대한 산을 올라 정상에 선 새로운 제왕.
EVENT07	7	38.10	44.50	万雷の喝采を背に受けながら、新帝は厳かに天に祈った。	우레 같은 갈채를 등에 받으며 새 황제는 엄숙히 하늘에 기원했다.
EVENT07	8	44.63	51.30	それは、先人たちの偉業に迫る大きな一歩だった。	그것은 선인들의 위업에 다가서는 큰 한 걸음이었다.
EVENT08	0	1.27	6.57	漢中を制した劉備の前に、百官が進み出た。	한중을 차지한 유비 앞에 백관이 나아갔다.
EVENT08	1	6.63	11.90	皇帝への即位。それが彼らの望みである。	황제 즉위. 그것이 그들의 바람이다.
EVENT08	2	11.97	17.80	漢を救うべき私が、どうして帝位につけようか。	한나라를 구해야 할 내가 어찌 제위에 오를 수 있겠는가.
EVENT08	3	17.87	21.17	静かに目を閉じる劉備。	조용히 눈을 감는 유비.
EVENT08	4	21.23	28.00	だが同時に、自らを信じ従ってきた軍民の姿が脳裏に浮かぶ。	그러나 동시에 자신을 믿고 따라온 군사와 백성들의 모습이 머릿속에 떠오른다.
EVENT08	5	28.07	32.50	彼らの気持ちにも、応えねばならない。	그들의 마음에도 보답해야 한다.
EVENT08	6	32.57	36.50	帝位は畏れ多いが、王位ならば。	제위는 황송하나, 왕위라면.
EVENT08	7	35.67	44.00	高祖・劉邦になじみ深い漢中王は、今の私にふさわしかろう。	고조 유방과 인연이 깊은 한중왕이라면 지금의 내게 걸맞으리라.
EVENT08	8	44.07	51.10	劉備は目を見開き、新たな王の誕生を宣言した。	유비는 눈을 크게 뜨고 새로운 왕의 탄생을 선언했다.
EVENT08	9	49.33	57.27	ここに劉備軍の新たな戦いの幕が開けた。	이로써 유비군의 새로운 싸움이 막을 올렸다.
EVENT09	0	1.33	7.77	再び迎えられた劉協に、万民は漢の再興を期待した。	다시 맞아들여진 유협에게 만백성은 한나라의 부흥을 기대했다.
EVENT09	1	7.83	13.13	だが、かつての皇帝に、復位の意志はなかった。	그러나 옛 황제에게는 복위할 뜻이 없었다.
EVENT09	2	13.20	21.03	劉協は、禅譲を意味する印綬と宝剣を差し出し、静かに宣言した。	유협은 선양을 뜻하는 인수와 보검을 내밀며 조용히 선언했다.
EVENT09	3	21.10	29.57	真に民を救える者への譲位。それこそが天下を救う道である、と。	참으로 백성을 구할 수 있는 자에게 양위하는 것. 그것이야말로 천하를 구하는 길이라고.
EVENT09	4	29.63	37.13	速やかに受禅台が築かれ、印綬と泰平への道が新帝に委ねられた。	곧바로 수선대가 세워지고, 인수와 태평으로 가는 길이 새 황제에게 맡겨졌다.
EVENT09	5	35.93	42.83	万雷の拍手が新たな帝王の門出を祝福する。	우레 같은 박수가 새로운 제왕의 앞날을 축복한다.
EVENT09	6	42.90	51.10	それは、漢朝400年の歴史を受け継いだ、正統な皇帝の誕生だった。	그것은 한 왕조 400년의 역사를 이어받은 정통 황제의 탄생이었다.
EVENT10	0	1.30	8.03	益州を完全に制した蜀は、今まで以上に国力を充実させていた。	익주를 완전히 장악한 촉은 그 어느 때보다 국력을 키우고 있었다.
EVENT10	1	8.10	14.70	受け継がれる志を胸に秘め、意気盛んに調練に励む将兵。	이어받은 뜻을 가슴에 품고 의기충천하여 훈련에 힘쓰는 장병들.
EVENT10	2	14.77	19.27	歴戦の自信が、彼らを強くしていた。	숱한 싸움으로 다진 자신감이 그들을 강하게 만들고 있었다.
EVENT10	3	19.33	27.37	大地を包む熱気に応えるように、諸葛亮が高まる想いを筆に綴る。	대지를 감싼 열기에 화답하듯, 제갈량이 북받치는 마음을 붓으로 써 내려간다.
EVENT10	4	26.47	32.50	我、中原を得ずして、蜀の地を踏むことなし。	내 중원을 얻기 전에는 다시는 촉 땅을 밟지 않으리라.
EVENT10	5	35.07	43.27	そこには、蜀という国を愛し、命を賭けた男たちの悲壮な決意が込められていた。	거기에는 촉이라는 나라를 사랑해 목숨을 건 사나이들의 비장한 결의가 담겨 있었다.
EVENT10	6	43.33	49.33	目指すは中原。そして天下統一。	목표는 중원. 그리고 천하 통일.
EVENT10	7	49.40	56.07	国の命運を賭けた大勝負が、今、始まる……。	나라의 명운을 건 큰 승부가 지금 시작된다…….
EVENT11	0	1.23	7.10	百官が居並ぶ中、新たな称号の誕生が宣言された。	백관이 늘어선 가운데 새로운 칭호의 탄생이 선포되었다.
EVENT11	1	7.20	10.07	その名は「五虎将軍」。	그 이름은 「오호장군」.
EVENT11	2	10.13	15.97	招き入れられる5人の勇姿は、戦場さながらの威風を放つ。	안으로 들어서는 다섯 용장은 전장 그대로의 위풍을 내뿜는다.
EVENT11	3	16.03	22.50	即ち、義を知り勇を知る、無双の武人・関羽。	의를 알고 용기를 아는 무쌍의 무인 관우.
EVENT11	4	21.27	25.93	死地に武威を轟かす、戦場の鬼神・張飛。	사지에서 무위를 떨치는 전장의 귀신 장비.
EVENT11	5	26.03	30.93	一身これすべて胆、不屈の偉丈夫・趙雲。	온몸이 담력 덩어리인 불굴의 대장부 조운.
EVENT11	6	31.00	35.53	老いてますます盛ん、百発百中の射手・黄忠。	늙을수록 더욱 강건한 백발백중의 궁수 황충.
EVENT11	7	35.60	40.37	西涼の錦と謳われる、神威将軍・馬超。	서량의 비단이라 칭송받는 신위장군 마초.
EVENT11	8	40.43	46.90	戦神の到来に宮中が湧き、歓声が波のように広がった。	전쟁의 신들이 나타나자 궁중이 들끓고 환호성이 물결처럼 퍼져 나갔다.
EVENT11	9	46.97	52.80	やがて、五虎将軍の名は天下に轟くこととなる。	머지않아 오호장군의 이름은 천하에 떨치게 된다.
EVENT12	0	1.37	8.00	江東を制覇した孫策と周瑜は橋玄邸の宴に招かれた。	강동을 제패한 손책과 주유는 교현의 저택에서 열린 연회에 초대받았다.
EVENT12	1	8.07	13.73	出迎えに待つ橋玄の後ろに、2人の美姫が控えていた。	마중 나온 교현의 뒤에는 두 미녀가 다소곳이 서 있었다.
EVENT12	2	13.80	19.87	たおやかに微笑む大喬と、快活な笑顔を向ける小喬。	우아하게 미소 짓는 대교와 밝게 웃어 보이는 소교.
EVENT12	3	19.93	24.60	「二喬」と謳われる姉妹が、艶やかに咲き誇る。	「이교」라 칭송받는 자매가 화사하게 피어난다.
EVENT12	4	24.67	33.00	宴もたけなわの折、橋玄は孫策と周瑜に縁談を申し込んだ。	연회가 무르익었을 무렵, 교현은 손책과 주유에게 혼담을 넣었다.
EVENT12	5	31.80	36.07	両者に異存などあろうはずもない。	두 사람에게 이의가 있을 리 없었다.
EVENT12	6	36.13	43.43	こうして呉の英雄2人の傍らを、天下の名花が彩ることとなった。	이리하여 오의 두 영웅 곁을 천하의 명화가 빛내게 되었다.
EVENT12	7	43.50	49.73	人々は彼らを祝福し、喝采してやまなかった。	사람들은 그들을 축복하며 끝없이 갈채를 보냈다.
EVENT13	0	1.23	8.03	手に手に武器を持ち侍立する女官たちの中を、颯爽と進む孫尚香。	저마다 무기를 들고 늘어선 시녀들 사이로 당당히 걸어 나오는 손상향.
EVENT13	1	8.10	13.60	その凛々しくも気高い姿に、誰もが思わず見入った。	늠름하고도 기품 있는 그 모습에 모두가 저도 모르게 넋을 잃었다.
EVENT13	2	17.07	24.03	それは劉孫両家の関係を強めるための、明らかな政略結婚の筈だった。	그것은 유씨와 손씨 두 가문의 관계를 다지기 위한 뻔한 정략결혼일 터였다.
EVENT13	3	24.10	32.03	だが、孫尚香を目にした瞬間、劉備は打算的な利害を超えたものを感じとった。	그러나 손상향을 본 순간, 유비는 이해타산을 넘어선 무언가를 느꼈다.
EVENT13	4	32.10	38.00	孫尚香もまた、劉備に英雄の風を感じていた。	손상향 또한 유비에게서 영웅의 풍모를 느끼고 있었다.
EVENT13	5	38.10	41.67	対面し、微笑みあう2人。	마주 보며 미소 짓는 두 사람.
EVENT13	6	40.47	47.27	そこにあるのは、ただ純なる想いのみだった。	그곳에 있는 것은 오직 순수한 마음뿐이었다.
SOP_H00	0	6.63	14.53	後漢末期、宮中では悪臣宦官がはびこり、地方では天災飢饉が相次いだ。	후한 말기, 궁중에서는 간신과 환관이 판치고 지방에서는 천재와 기근이 잇따랐다.
SOP_H00	1	15.70	21.97	政治の衰退を見た太平道の張角は漢朝打倒の兵を挙げる。	정치가 쇠퇴하자 태평도의 장각은 한 왕조를 무너뜨리려 군사를 일으킨다.
SOP_H00	2	22.47	25.50	世に言う「黄巾の乱」である。	이른바 「황건적의 난」이다.
SOP_H00	3	26.20	32.33	不満と不安にさいなまれた民衆は暴徒と化し、各地を荒らし回った。	불만과 불안에 시달리던 백성들은 폭도로 변해 각지를 휩쓸고 다녔다.
SOP_H00	4	33.50	38.20	そんな中、幽州に3人の男たちが立ち上がる。	그런 가운데 유주에서 세 사나이가 일어선다.
SOP_H00	5	39.87	47.90	劉備、関羽、張飛。死ぬときは同じと誓った3人は、	유비, 관우, 장비. 같은 날 죽기로 맹세한 세 사람은
SOP_H00	6	48.27	53.07	戦乱にあえぐ世を救うべく反乱鎮圧軍に参加した。	전란에 허덕이는 세상을 구하고자 반란 진압군에 가담했다.
SOP_H00	7	54.17	66.17	ときに西暦184年、漢の光和7年のことである。	때는 서기 184년, 한나라 광화 7년의 일이다.
SOP_H01	0	6.03	14.37	黄巾の乱以降も漢朝を討たんとする反乱が相次ぎ、朝廷は対応に追われた。	황건적의 난 이후에도 한 왕조를 치려는 반란이 잇따라 조정은 수습하기에 바빴다.
SOP_H01	1	14.43	22.70	さらに、少帝の外戚として絶大な権力を手にした何進が暗殺される。	게다가 소제의 외척으로서 막강한 권력을 쥐었던 하진이 암살당한다.
SOP_H01	2	22.77	30.93	混乱につぐ混乱の中、宙に浮いた朝廷の実権を握ったのは董卓であった。	혼란에 혼란이 거듭되는 가운데, 주인 잃은 조정의 실권을 쥔 자는 동탁이었다.
SOP_H01	3	31.00	40.57	董卓は、天下無双の豪傑・呂布を従え、献帝への譲位を強行する。	동탁은 천하무쌍의 호걸 여포를 거느리고 억지로 헌제에게 제위를 넘기게 한다.
SOP_H01	4	39.37	46.87	この暴挙に憤慨した諸侯は、陳留の曹操を先頭に、各地で挙兵。	이 폭거에 분개한 제후들은 진류의 조조를 선두로 각지에서 군사를 일으켰다.
SOP_H01	5	46.93	53.10	袁紹を盟主に「反董卓連合」を結成した。	그리고 원소를 맹주로 삼아 「반동탁 연합」을 결성했다.
SOP_H01	6	53.17	60.17	ときに西暦190年、漢の初平2年のことである。	때는 서기 190년, 한나라 초평 2년의 일이다.
SOP_H02	0	7.60	14.20	「反董卓連合」の勢いをかわすため、董卓は長安に逃れた。	「반동탁 연합」의 기세를 피해 동탁은 장안으로 달아났다.
SOP_H02	1	14.27	21.30	絶大な権力を誇った董卓だったが、最後は腹心の呂布に討たれてしまう。	막강한 권세를 누리던 동탁이었으나, 끝내 심복 여포의 손에 죽고 만다.
SOP_H02	2	21.37	27.87	諸侯は次代の旗手を目指して、互いに争い始めた。	제후들은 다음 시대를 이끌 주역이 되고자 서로 다투기 시작했다.
SOP_H02	3	27.93	35.23	中原では、都を追われた呂布が曹操の背後を突き、兗州を奪取。	중원에서는 도읍에서 쫓겨난 여포가 조조의 배후를 쳐서 연주를 빼앗았다.
SOP_H02	4	35.30	44.10	江東でも、袁術より兵を譲り受けた孫策が、自らの覇道を切り開こうとしていた。	강동에서도 원술에게서 군사를 넘겨받은 손책이 스스로 패업의 길을 열려 하고 있었다.
SOP_H02	5	44.20	53.23	呂布と孫策の登場によって、群雄割拠の構図は、新たな段階を迎えた。	여포와 손책의 등장으로 군웅할거의 구도는 새로운 국면을 맞이했다.
SOP_H02	6	53.30	60.70	ときに西暦194年、漢の興平1年のことである。	때는 서기 194년, 한나라 흥평 1년의 일이다.
SOP_H03	0	7.63	14.80	およそ10年続いた群雄割拠の時代は終わりを告げようとしていた。	10년 가까이 이어진 군웅할거의 시대가 막을 내리려 하고 있었다.
SOP_H03	1	14.87	23.07	河北では、袁紹が公孫瓚を倒し、諸侯の中で最大の勢力を手にした。	하북에서는 원소가 공손찬을 쓰러뜨리고 제후 가운데 가장 큰 세력을 손에 넣었다.
SOP_H03	2	23.13	31.33	中原では、曹操が献帝を擁立し、袁術、呂布らを倒して基盤を固めた。	중원에서는 조조가 헌제를 옹립하고 원술, 여포 등을 쓰러뜨려 기반을 다졌다.
SOP_H03	3	31.20	40.07	こうして、華北の主導権を握る争いは、袁紹と曹操の二強に絞られた。	이리하여 화북의 주도권 다툼은 원소와 조조, 두 강자의 대결로 좁혀졌다.
SOP_H03	4	40.13	51.30	一方、華南では、「小覇王」と呼ばれる孫策が江東を平定し、中原に進出する機会をうかがっていた。	한편 화남에서는 「소패왕」이라 불리는 손책이 강동을 평정하고 중원 진출의 기회를 엿보고 있었다.
SOP_H03	5	51.37	58.63	ときに西暦200年、漢の建安5年のことである。	때는 서기 200년, 한나라 건안 5년의 일이다.
SOP_H04	0	6.53	14.47	官渡で袁紹を破った曹操は袁家を滅ぼし、河北を手中に収めた。	관도에서 원소를 무찌른 조조는 원씨 일가를 멸하고 하북을 손에 넣었다.
SOP_H04	1	14.53	21.30	曹操は次なる目標を江南に定め、荊州攻略に乗り出す。	조조는 다음 목표를 강남으로 정하고 형주 공략에 나선다.
SOP_H04	2	21.37	29.87	対する荊州の劉表は、客将の劉備を新野に置き、曹操の南下に備えた。	이에 맞서 형주의 유표는 객장 유비를 신야에 두고 조조의 남하에 대비했다.
SOP_H04	3	29.93	39.63	劉備は兵力を整えつつも、曹操に対抗するために不可欠な「軍師」を捜し求めるのだった。	유비는 병력을 정비하면서도 조조에 맞서는 데 꼭 필요한 「군사」를 찾고 있었다.
SOP_H04	4	40.10	48.93	一方、江東でも、孫策の後を継いだ孫権が、来るべき大戦に備えて動き始めていた。	한편 강동에서도 손책의 뒤를 이은 손권이 다가올 큰 싸움에 대비해 움직이기 시작했다.
SOP_H04	5	49.00	54.90	ときに西暦207年、漢の建安12年。	때는 서기 207년, 한나라 건안 12년.
SOP_H04	6	54.97	61.07	世に名高い「赤壁の戦い」の前年のことである。	그 유명한 「적벽대전」이 일어나기 한 해 전의 일이다.
SOP_H05	0	9.53	18.83	荊州を併合した曹操は江東に進出するが、孫権・劉備連合軍に敗れた。	형주를 병합한 조조는 강동으로 진출했으나 손권과 유비의 연합군에게 패했다.
SOP_H05	1	18.90	24.93	孫権軍を率いる周瑜は勝ちに乗じて江陵を奪取。	손권군을 이끄는 주유는 승세를 몰아 강릉을 빼앗았다.
SOP_H05	2	25.00	31.30	天下の「軍師」諸葛亮を得た劉備も荊州南部を攻略した。	천하의 「군사」 제갈량을 얻은 유비도 형주 남부를 공략했다.
SOP_H05	3	31.37	36.87	程なくして、孫呉の大国柱・周瑜が急逝する。	얼마 뒤, 손오의 대들보 주유가 갑작스레 세상을 떠난다.
SOP_H05	4	38.07	46.87	反撃の機会を待っていた曹操は南下の準備を進め、背後の敵である馬騰を謀殺した。	반격할 기회를 노리던 조조는 남하를 준비하며 배후의 적 마등을 모살했다.
SOP_H05	5	46.93	56.40	父を討たれた馬超は激怒し、涼州の軍勢を引き連れ曹操に復讐戦を挑んだ。	아버지를 잃은 마초는 격노하여 양주의 군세를 이끌고 조조에게 복수전을 걸었다.
SOP_H05	6	56.47	63.77	ときに西暦211年、漢の建安16年のことである。	때는 서기 211년, 한나라 건안 16년의 일이다.
SOP_H06	0	9.17	14.70	曹操に復讐を挑んだ馬超は、離間の策に敗れた。	조조에게 복수전을 건 마초는 이간책에 걸려 패했다.
SOP_H06	1	13.47	22.97	折しも西蜀では、劉備と劉璋の争いが勃発。	때마침 서촉에서는 유비와 유장의 싸움이 벌어졌다.
SOP_H06	2	21.73	29.30	劉備は馬超を招き入れ、その威によって劉璋を下した。	유비는 마초를 맞아들여 그 위세로 유장을 굴복시켰다.
SOP_H06	3	26.77	36.33	曹操は漢中へ侵攻し、一度は平定するも、劉備に攻められ撤退する。	조조는 한중으로 쳐들어가 한때 평정했으나 유비의 공격을 받고 물러난다.
SOP_H06	4	38.40	47.73	日の出の勢いの劉備は「漢中王」を称し、義弟・関羽に荊州の制圧を命じる。	욱일승천의 기세를 탄 유비는 「한중왕」을 칭하고 의제 관우에게 형주 제압을 명한다.
SOP_H06	5	47.80	56.03	関羽の存在を危惧した孫権は密かに曹操と結び、反撃の策を練った。	관우를 위협으로 여긴 손권은 은밀히 조조와 손잡고 반격할 계책을 짰다.
SOP_H06	6	56.10	63.80	ときに西暦219年、漢の建安24年のことである。	때는 서기 219년, 한나라 건안 24년의 일이다.
SOP_H07	0	6.57	12.87	劉備の義弟・関羽は、孫権軍に背後を突かれ敗死した。	유비의 의제 관우는 손권군에게 배후를 찔려 패하고 목숨을 잃었다.
SOP_H07	1	12.93	20.43	400年続いた漢朝も、曹操の後を継いだ魏王・曹丕によって滅ぼされる。	400년을 이어 온 한 왕조도 조조의 뒤를 이은 위왕 조비에 의해 멸망한다.
SOP_H07	2	20.50	31.47	激怒した劉備は、魏に対抗して蜀を建国。荊州へ侵攻するも、孫権軍の陸遜に大敗を喫した。	격노한 유비는 위에 맞서 촉을 세우고 형주로 쳐들어갔으나 손권군의 육손에게 대패했다.
SOP_H07	3	31.53	39.87	失意の劉備は、まだ若い後継者・劉禅を諸葛亮に託し、世を去る。	실의에 빠진 유비는 아직 어린 후계자 유선을 제갈량에게 맡기고 세상을 떠난다.
SOP_H07	4	39.93	48.03	これを蜀打倒の好機と見た南蛮王・孟獲は、南中で挙兵。	이를 촉을 무너뜨릴 호기로 본 남만왕 맹획은 남중에서 군사를 일으켰다.
SOP_H07	5	46.80	52.87	諸葛亮は、自ら孟獲の鎮圧に乗り出さねばならなかった。	제갈량은 몸소 맹획 진압에 나서야만 했다.
SOP_H07	6	52.93	59.93	ときに西暦225年、蜀の建興3年のことである。	때는 서기 225년, 촉나라 건흥 3년의 일이다.
SOP_H08	0	7.20	16.73	南蛮を平定した諸葛亮は、魏を討つべく北伐を開始するも、司馬懿らに四度退けられた。	남만을 평정한 제갈량은 위를 치고자 북벌에 나섰으나 사마의 등에게 네 차례 격퇴당했다.
