id	kind	width	lines	ja	ko
M00013.0	desc	30	13	漢中王となった劉備が関羽に襄陽⏎の攻略を命じた直後。劉備は劉璋⏎を降して益州を手に入れ、曹操の⏎支配下にあった漢中も奪取する。⏎関羽、張飛、趙雲、黄忠、馬超の⏎五虎将軍が集い、最盛期を迎えて⏎いる。対する曹操は関羽の北上に⏎備え、于禁と{U:F04C}徳を派遣。同じく⏎荊州を狙う孫権も、赤壁の戦い以⏎来続いていた劉備との友好関係を⏎崩し、曹操に接近している。軍の⏎統率者は呂蒙であり、荊州攻略の⏎陰の功労者・陸遜も伴っている。	한중왕이 된 유비가 관우에게⏎양양 공략을 명한 직후. 유비는⏎유장을 항복시켜 익주를 얻고⏎조조가 지배하던 한중도⏎빼앗았다. 관우, 장비, 조운,⏎황충, 마초의 오호장군이 모여⏎전성기를 맞았다. 조조는 관우의⏎북상에 대비해 우금과 방덕을⏎파견. 형주를 노리는 손권도⏎적벽 이래의 유비와의 우호를⏎깨고 조조에게 접근했다. 군을⏎이끄는 이는 여몽, 형주 공략의⏎숨은 공로자 육손도 함께한다.
M00014.0	label	26	1	南蛮王孟獲と諸葛亮の南征	남만왕 맹획과 제갈량 남정
M00015.0	desc	30	13	諸葛亮が南蛮王・孟獲の反乱を鎮⏎圧する「南蛮征伐」。曹操の後継⏎者・曹丕が「魏」を建国し、「漢」⏎は滅亡している。劉備は「蜀」を⏎建てたが、関羽が敗れ荊州を失陥。⏎荊州奪還を狙った「夷陵の戦い」⏎にも敗北し、諸葛亮に後を委ねて⏎世を去った。孫権は夷陵で劉備軍⏎を破った陸遜を軸に、江陵以南の⏎荊州を掌握。南方では蜀の衰退を⏎見た孟獲が雲南で挙兵している。⏎孟獲軍は知将を欠くが、独特の兵⏎法を持つ武将が多い。	제갈량이 남만왕 맹획의 반란을⏎진압하는 「남만 정벌」. 조조의⏎후계자 조비가 위를 세워 한은⏎멸망했다. 유비는 촉을 세웠으나⏎관우가 패해 형주를 잃고,⏎탈환을 노린 「이릉대전」에서도⏎패해 제갈량에게 뒤를 맡기고⏎타계했다. 손권은 이릉에서 이긴⏎육손을 앞세워 강릉 이남 형주를⏎장악. 남쪽에서는 촉의 쇠퇴를⏎본 맹획이 운남에서 거병했다.⏎맹획군은 지장이 없지만 독특한⏎병법을 쓰는 무장이 많다.
M00016.0	label	26	1	第五次北伐と諸葛亮の死	제5차 북벌과 제갈량의 죽음
M00017.0	desc	30	12	「出師の表」を上奏した諸葛亮が⏎魏を討つために連戦した「北伐」。⏎その５戦目となる「五丈原の戦い」⏎の場面。魏帝は曹丕の子・曹叡で、⏎自ら対呉戦線に親征している。対⏎蜀戦線には諸葛亮の宿敵・司馬懿⏎が布陣。蜀は南蛮を抑えているも⏎のの、国力陣容とも魏に数段劣る。⏎孫権との友好関係を持続し、長安⏎方面に戦力を集結させたい。孫権⏎は「呉」を建国。引き続き、陸遜⏎が軍の支柱となっている。	「출사표」를 올린 제갈량이⏎위를 치려고 거듭 싸운 「북벌」.⏎그 다섯 번째인 「오장원 전투」⏎장면. 위 황제 조예는 조비의⏎아들로, 몸소 오와의 전선에⏎나가 있다. 촉 전선에는⏎제갈량의 숙적 사마의가 포진.⏎촉은 남만을 누르고 있으나⏎국력도 진용도 위에 크게 뒤진다.⏎손권과 우호를 유지하며 장안⏎방면에 전력을 모아야 한다.⏎손권은 오를 건국. 육손이⏎여전히 군의 기둥이다.
M00018.0	label	26	1	剣閣攻防と蜀の滅亡	검각 공방과 촉의 멸망
M00019.0	desc	30	13	蜀の滅亡直前。魏は司馬一族が政⏎権を掌握。司馬昭の命で、鍾会、⏎{U:F04A}艾が蜀へ侵攻すべく、対蜀戦線⏎に結集している。蜀は陣容の弱体⏎化が著しい。軍の統率者は姜維だ⏎が、彼とともに戦えるだけの人材⏎は少ない。史実では、呉の皇帝・⏎孫休が姜維の求めに応じて援軍を⏎派遣するが、間に合わなかった。⏎魏に蜀を併呑されると、呉に対抗⏎する力は残されていない。三国を⏎通じて武将数が少なく、戦力の集⏎中と早期攻略が鍵を握る。	촉 멸망 직전. 위는 사마씨⏎일족이 정권을 장악했다.⏎사마소의 명으로 종회와 등애가⏎촉을 치려고 전선에 집결해 있다.⏎촉은 진용이 크게 약해져, 군을⏎이끄는 강유와 함께 싸울 만한⏎인재가 적다. 역사에서는 오의⏎황제 손휴가 강유의 요청으로⏎원군을 보냈으나 늦고 말았다.⏎위가 촉을 병합하면 오에는 맞설⏎힘이 남지 않는다. 세 나라 모두⏎무장이 적어 전력 집중과 빠른⏎공략이 관건이다.
M00020.0	label	26	1	孫堅の中興	손견의 중흥
M00021.0	desc	30	12	「反董卓連合」の一員である孫堅⏎が董卓から洛陽を奪い、洛陽に留⏎まっている情勢。「正史」では、⏎董卓軍に勝利して洛陽を奪取する⏎のは孫堅１人の戦功で、他の連合⏎諸侯は戦いを避けるか、敗北して⏎いる。孫堅は長沙から洛陽に移り、⏎兵力を増強。通常シナリオの長沙⏎からのスタートでは困難な董卓と⏎の戦いを実現できる。ただし、周⏎囲は他勢力の支配下にあるので、⏎難易度は高い。	「반동탁 연합」의 일원인⏎손견이 동탁에게서 낙양을⏎빼앗아 머무르고 있는 정세.⏎「정사」에서 동탁군을 이겨⏎낙양을 차지한 것은 손견 혼자의⏎공이며, 다른 연합 제후는⏎싸움을 피하거나 패했다. 손견은⏎장사에서 낙양으로 옮겨 병력을⏎늘렸다. 장사에서 출발하는 일반⏎시나리오로는 어려운 동탁과의⏎싸움을 해 볼 수 있다. 다만⏎주위가 다른 세력의 지배 아래⏎있어 난이도는 높다.
M00022.0	label	26	1	白馬将軍の威	백마장군의 위세
M00023.0	desc	30	11	「反董卓連合」に参加した諸侯は⏎やがて内部分裂を起こし、互いに⏎争うようになる。「正史」による⏎と、この当時、大勢力だったのは⏎公孫{U:F040}、袁紹、袁術、そして董卓⏎である。曹操は袁紹、孫堅は袁術⏎の一将軍に過ぎなかった。「白馬⏎将軍」の威名で知られる公孫{U:F040}は、⏎冀州から徐州にかけて支配する大⏎勢力で、配下に劉備、関羽、張飛、⏎趙雲らがそろう。	「반동탁 연합」에 참가한⏎제후들은 곧 내분을 일으켜 서로⏎다투게 된다. 「정사」에 따르면⏎당시 큰 세력은 공손찬, 원소,⏎원술, 그리고 동탁이었다.⏎조조는 원소의, 손견은 원술의⏎일개 장수에 지나지 않았다.⏎「백마장군」의 위명으로 알려진⏎공손찬은 기주부터 서주까지⏎지배하는 큰 세력으로, 휘하에⏎유비, 관우, 장비, 조운 등이⏎모여 있다.
M00024.0	label	26	1	皇帝呂布	황제 여포
M00025.0	desc	30	12	皇帝を自称した袁術が呂布と手を⏎組んだ直後に病死し、呂布が帝位⏎を継いだという仮定の状況。呂布⏎は徐州の他に、旧袁術領の寿春と⏎廬江を支配。旧袁術軍の武将も加⏎え、陣容も倍増している。周囲を⏎囲む曹操、袁紹、孫策らはいずれ⏎も強力だが、徐州だけだった史実⏎に比べれば、十分に戦える戦力を⏎有する。中原から江東にかけて同⏎程度の力を持った勢力が拮抗し、⏎緊迫感ある情勢となっている。	황제를 자칭한 원술이 여포와⏎손잡은 직후 병사하고, 여포가⏎제위를 이었다고 가정한 상황.⏎여포는 서주 외에 옛 원술령인⏎수춘과 여강을 지배. 옛 원술군⏎무장도 더해 진용도 배로 늘었다.⏎주위의 조조, 원소, 손책 등은⏎모두 강력하지만, 서주뿐이었던⏎역사에 비하면 충분히 싸울 만한⏎전력을 갖췄다. 중원에서 강동에⏎걸쳐 힘이 엇비슷한 세력들이⏎팽팽히 맞서 긴박한 정세다.
M00026.0	label	26	1	漢の忠臣ここにあり	한의 충신 여기 있다
M00027.0	desc	30	13	曹操の専横に苦しむ献帝は、董承⏎に曹操打倒の密勅を託す。これに⏎漢の復興を志す劉備と馬騰らが参⏎加。史実では曹操に露見し、計画⏎は頓挫するが、ここでは計画が半⏎ば成功した場合を想定している。⏎劉備は献帝を保護して許昌を脱出。⏎馬騰軍と合流して洛陽以西を支配⏎する。曹操にとっては北の袁紹、⏎南の孫策に匹敵する大敵が出現し⏎たことになる。劉備が徐州入りし⏎ていないため、袁術は討伐されて⏎いない。宛の張繍も健在である。	조조의 전횡에 시달리던 헌제가⏎동승에게 조조 타도의 밀칙을⏎내리고, 한의 부흥을 꿈꾸는⏎유비, 마등 등이 가담한다.⏎역사에서는 발각돼 좌절되나⏎여기서는 절반쯤 성공했다고⏎가정했다. 유비는 헌제를 모시고⏎허창을 탈출해 마등과 함께 낙양⏎서쪽을 지배. 조조에게는 북의⏎원소, 남의 손책에 버금가는⏎강적이 생겼다. 유비가 서주로⏎가지 않아 원술은 토벌되지⏎않았고 완의 장수도 건재하다.
M00028.0	label	26	1	華北の覇者袁紹	화북의 패자 원소
M00029.0	desc	30	13	「官渡の戦い」で袁紹が勝利した⏎仮定の情勢。袁紹は許昌、洛陽に⏎侵攻し、献帝を擁護している。領⏎土の変動によって、袁紹軍と曹操⏎軍の兵力差はさらに大きく開いて⏎いるが、曹操軍の将は失われてい⏎ない。兵力の袁紹、人材の曹操と⏎いう図式がより濃くなっている。⏎劉備は汝南に脱出し、関羽、張飛、⏎趙雲と合流。華北の戦況が変化し⏎たため、孫策は暗殺されず江東の⏎小覇王は健在である。張繍も宛で⏎再び独立している。	「관도대전」에서 원소가⏎승리했다고 가정한 정세. 원소는⏎허창, 낙양으로 쳐들어가 헌제를⏎보호하고 있다. 영토 변동으로⏎양군의 병력 차는 더 벌어졌지만⏎조조군의 장수는 그대로다.⏎병력의 원소, 인재의 조조라는⏎구도가 더 뚜렷해졌다. 유비는⏎여남으로 탈출해 관우, 장비,⏎조운과 합류. 화북의 전황이⏎바뀌어 손책은 암살되지 않았고,⏎강동의 소패왕은 건재하다.⏎장수도 완에서 다시 독립했다.
M00030.0	label	26	1	周瑜の天下二分計	주유의 천하이분지계
M00031.0	desc	30	13	諸葛亮の「天下三分計」は有名だ⏎が、周瑜も「天下二分計」を抱い⏎ていた。「演義」では諸葛亮に見⏎破られた「天下二分計」だが、こ⏎こでは成功した場合を想定してい⏎る。周瑜は自ら軍を率いて遠征し、⏎劉璋を降して益州を奪取。馬騰と⏎の関係も友好的で、ともに曹操軍⏎と戦う準備ができている。周瑜は⏎劉備を敵視していたため、孫尚香⏎は劉備と結婚していない。周瑜に⏎とって劉備は鬼門であり、曹操と⏎の決戦前に倒しておきたい。	제갈량의 천하삼분지계가⏎유명하지만 주유 역시⏎천하이분지계를 품고 있었다.⏎연의에서는 제갈량이 간파했지만⏎여기서는 성공했다고 가정했다.⏎주유는 몸소 원정해 유장을⏎항복시키고 익주를 빼앗았다.⏎마등과도 사이가 좋아 함께⏎조조와 싸울 준비가 되어 있다.⏎주유가 유비를 적대해 손상향은⏎유비와 혼인하지 않았다.⏎눈엣가시인 유비를 조조와의⏎결전 전에 쓰러뜨려야 한다.
M00032.0	label	26	1	曹家分裂	조씨 일가 분열
M00033.0	desc	30	13	曹操の死後、曹丕が後を継ぐまで、⏎魏では帝位をめぐる後継者争いが⏎起きていた。ここでは争いが激化⏎し、曹彰、曹植、曹熊が分立した⏎場合を想定している。烏丸討伐で⏎活躍した曹彰は冀州以北を、臨{U:F062}⏎侯・曹植は{U:F04B}州以東を支配。関羽⏎の死は曹操病死以前なので、劉備⏎の荊州失陥は変わらず。孫権軍の⏎支柱である呂蒙も死亡している。⏎曹丕、曹彰、曹植、劉備、孫権の⏎戦力が拮抗し、どの勢力にも大陸⏎統一への道が開かれている。	조조 사후 조비가 뒤를 잇기까지⏎위에서는 제위를 둘러싼 후계자⏎다툼이 있었다. 여기서는 다툼이⏎커져 조창, 조식, 조웅이 분립한⏎경우를 가정했다. 오환 토벌에서⏎활약한 조창은 기주 북쪽을,⏎임치후 조식은 연주 동쪽을 지배.⏎관우의 죽음은 조조 병사 전이라⏎유비의 형주 상실은 변함없다.⏎손권군의 기둥인 여몽도 죽었다.⏎조비, 조창, 조식, 유비, 손권의⏎전력이 팽팽해 어느 세력에게나⏎대륙 통일의 길이 열려 있다.
M00034.0	label	26	1	西蜀動乱	서촉 동란
M00035.0	desc	30	12	魏の鍾会と{U:F04A}艾に攻められ、蜀は⏎滅ぶ。史実では鍾会は{U:F04A}艾を捕縛⏎し、蜀の姜維とともに反乱を企て⏎るが、すぐに失敗して死亡した。⏎ここでは鍾会が遠征軍と旧蜀軍を⏎掌握し、独立に成功した場合を想⏎定している。{U:F04A}艾も脱出に成功し⏎独立。姜維は劉禅を迎え直して蜀⏎を再興させるため、鍾会に協力し⏎ている。劉禅は在野武将として健⏎在であり、姜維の目論見を実現に⏎移す余地はある。	위의 종회와 등애의 공격으로⏎촉은 멸망한다. 역사에서는⏎종회가 등애를 붙잡고 촉의⏎강유와 함께 반란을 꾀했으나 곧⏎실패해 죽었다. 여기서는 종회가⏎원정군과 옛 촉군을 장악해⏎독립에 성공한 경우를 가정했다.⏎등애도 탈출에 성공해 독립.⏎강유는 유선을 다시 맞아 촉을⏎재건하려고 종회에게 협력하고⏎있다. 유선은 재야 무장으로⏎건재해 강유의 계획을 실현할⏎여지는 있다.
M00036.0	label	26	1	超・三國志	초・삼국지
M00037.0	desc	30	13	「超・三國志」（今戸榮一訳編）⏎を題材としたシナリオ。新野にい⏎た劉備は、病に倒れた劉表から荊⏎州を譲り受ける。南下した曹操は⏎孫権と戦うが敗れ、西進して漢中⏎を制圧する。馬騰は曹操に謀殺さ⏎れ、報復を誓う馬超は劉備と手を⏎組む。五虎将軍と諸葛亮、{U:F04C}統、⏎徐庶の三軍師が劉備軍にそろい、⏎姜維や諸葛瞻らも最初から登場す⏎る。孟獲も出現。生年や寿命の制⏎限を撤廃した完全に架空のシナリ⏎オである。	「초・삼국지」(이마도 에이이치⏎편역)를 소재로 한 시나리오.⏎신야의 유비는 병든 유표에게서⏎형주를 물려받는다. 남하한⏎조조는 손권에게 패해 서쪽의⏎한중을 제압한다. 마등은⏎조조에게 모살되고, 복수를⏎맹세한 마초는 유비와 손잡는다.⏎오호장군과 제갈량, 방통, 서서⏎세 군사가 유비군에 모이고,⏎강유와 제갈첨, 맹획도 처음부터⏎등장한다. 생년과 수명 제한이⏎없는 완전 가상 시나리오.
M00038.0	label	26	1	英雄集結	영웅 집결
M00039.0	desc	30	6	歴史の年代にかかわりなく君主を⏎各地に配置し、全史実武将を一堂⏎に会させた完全架空の設定。張角⏎と孟獲など、接点のなかった勢力⏎を同時に登場させるため、生年や⏎寿命の制限は無視している。	실제 연대와 상관없이 군주를⏎각지에 배치하고, 역사상의⏎무장을 모두 한자리에 모은 완전⏎가상 설정. 장각과 맹획처럼⏎접점이 없던 세력을 동시에⏎등장시키기 위해 생년과 수명⏎제한은 무시했다.
M00040.0	label	26	1	はじめに	들어가며
M00041.0	desc	30	10	「三國志」初心者はもちろん経験⏎者にもぜひ一度プレイしてほしい⏎シナリオ。ゲームの目的、クリア⏎条件、マップ上の建物の説明から、⏎「戦略フェイズ」「進行フェイズ」⏎の違い、情報画面の見方まで、ゲ⏎ームを楽しむ上で知っておきたい⏎事柄をまとめて紹介している。実⏎際にプレイして操作や機能を確か⏎めるコーナーもある。	「삼국지」 초보자는 물론⏎경험자도 꼭 한 번 해 보기를⏎권하는 시나리오. 게임의 목적,⏎클리어 조건, 맵 위 건물의⏎설명부터 「전략 페이즈」와⏎「진행 페이즈」의 차이, 정보⏎화면 보는 법까지 게임을 즐기는⏎데 알아 두면 좋을 내용을 모아⏎소개한다. 직접 플레이하며⏎조작과 기능을 확인하는 코너도⏎있다.
M00042.0	label	26	1	新野の戦い・内政編	신야 전투・내정편
M00043.0	desc	30	11	内政にスポットを当てたシナリオ。⏎人材の捜し方や増やし方、国力増⏎強の仕方をレクチャーする。内政⏎の方法がわからない人や、なかな⏎か国が豊かにならない人にお勧め。⏎配下を増やす「登用」、国力を高⏎める「巡察」と「開墾・商業」、⏎大陸に埋もれた人材やアイテムを⏎捜し出す「探索」……どれも大陸⏎統一には欠かせない命令ばかり。⏎国政の基本がここにある。	내정에 초점을 맞춘 시나리오.⏎인재를 찾고 늘리는 법, 국력을⏎키우는 법을 알려 준다. 내정⏎방법을 모르거나 좀처럼 나라가⏎부유해지지 않는 사람에게 추천.⏎부하를 늘리는 「등용」,⏎국력을 높이는 「순찰」과⏎「개간・상업」, 대륙에 묻힌⏎인재와 아이템을 찾아내는⏎「탐색」…… 모두 대륙 통일에⏎빠질 수 없는 명령들이다.⏎국정의 기본이 여기 있다.
M00044.0	label	26	1	新野の戦い・軍備編	신야 전투・군비편
M00045.0	desc	30	11	出陣前にすべき「下準備」を学べ⏎るシナリオ。ゲームで戦争に挑む⏎前にプレイしてほしい。体験でき⏎る命令は全部で４つ。兵士を雇い⏎鍛える「徴兵」と「訓練」、籠城⏎戦に備え都市を堅固にする「改修」、⏎敵対勢力を減らす「贈呈」だ。こ⏎れらの命令を理解して的確に実行⏎すれば、勝つ確率はより高くなる。⏎戦争は戦う前から始まっているの⏎だ。	출진 전에 할 「사전 준비」를⏎배우는 시나리오. 게임에서⏎전쟁에 나서기 전에 해 보기⏎바란다. 체험할 수 있는 명령은⏎모두 4가지. 병사를 모아⏎단련하는 「징병」과 「훈련」,⏎농성전에 대비해 도시를 튼튼히⏎하는 「보수」, 적대 세력을⏎줄이는 「증정」이다. 이 명령을⏎이해하고 적절히 실행하면 이길⏎확률은 더 높아진다. 전쟁은⏎싸우기 전부터 이미 시작된다.
M00046.0	label	26	1	新野の戦い・出陣編	신야 전투・출진편
M00047.0	desc	30	11	部隊の出陣方法、目標の定め方、⏎そして戦闘。戦争に関することを⏎一通り学べるシナリオだ。実際に⏎部隊を操作して敵を撃退し、施設⏎を守りきろう。敵将を捕虜にした⏎場合は、捕虜処遇に関する「処断」⏎「追放」も学べる。敵の呂曠隊、⏎曹仁隊は強力だが、軍師の助言や⏎説明を聞いていれば必ず撃退でき⏎る。勝利を収めて戦争のコツを掴⏎んでしまおう。	부대 출진 방법, 목표 정하는 법,⏎그리고 전투. 전쟁에 관한 것을⏎두루 배울 수 있는 시나리오다.⏎실제로 부대를 조작해 적을⏎격퇴하고 시설을 끝까지 지키자.⏎적장을 포로로 잡으면⏎포로처우에 관한 「처단」과⏎「추방」도 배울 수 있다. 적의⏎여광대, 조인대는 강력하지만⏎군사의 조언과 설명을 잘 들으면⏎반드시 격퇴할 수 있다. 승리를⏎거두고 전쟁의 요령을 터득하자.
M00048.0	label	26	1	新野の戦い・攻城編	신야 전투・공성편
M00049.0	desc	30	11	少ない被害で大きな戦果を上げる⏎ための方法を紹介。戦争になかな⏎か勝てない人はチェックしよう。⏎中継拠点を作る「建設」、敵都市⏎の耐久を下げる「焼討」、どちら⏎も成功すれば、少ない犠牲で都市⏎を落とすことが可能。シナリオの⏎最後には兵器を使った攻城戦も体⏎験できる。「焼討」で耐久を落と⏎してから攻城兵器で攻める、実戦⏎でも使える有効な戦法なのだ。	적은 피해로 큰 전과를 올리는⏎방법을 소개. 전쟁에서 좀처럼⏎못 이기는 사람은 확인해 보자.⏎중계 거점을 만드는 「건설」,⏎적 도시의 내구를 낮추는⏎「화공」, 둘 다 성공하면 적은⏎희생으로 도시를 함락할 수 있다.⏎시나리오 마지막에는 병기를 쓴⏎공성전도 체험할 수 있다.⏎「화공」으로 내구를 낮추고⏎공성 병기로 공격하는 것은⏎실전에서도 유효한 전법이다.
M00050.0	label	20	1	下{U:F060}攻防戦	하비공방전
M00051.0	desc	30	12	下{U:F060}に籠城する呂布を曹操で倒す⏎シナリオ。盟友・劉備や有能な配⏎下をうまく使って、呂布を追いつ⏎めよう。制限期間の６{S:8396}月以内に⏎呂布を倒せば、クリアとなる。他⏎のチュートリアルのように方法が⏎細かく示されることはない。これ⏎までのチュートリアルで学んでき⏎たテクニックと自らの知略を駆使⏎し、呂布を捕らえるのだ。このシ⏎ナリオをクリアすると「ごほうび」⏎がもらえる！	하비에서 농성하는 여포를⏎조조로 쓰러뜨리는 시나리오.⏎맹우 유비와 유능한 부하를 잘⏎활용해 여포를 몰아붙이자. 제한⏎기간 6개월 안에 여포를⏎쓰러뜨리면 클리어. 다른⏎튜토리얼처럼 방법을 자세히⏎알려 주지는 않는다. 지금까지⏎튜토리얼에서 배운 기술과⏎지략을 총동원해 여포를 잡아라.⏎이 시나리오를 클리어하면⏎「보상」을 받을 수 있다!
M00052.0	label	20	1	南陽攻防戦	남양 공방전
