offset	ja	ko
0x353308	布陣	포진
0x353310	兵役人口	병역인구
0x353320	相場	시세
0x353330	金1につき兵糧%2d	금 1당 병량 %2d
0x353348	個別任命	개별임명
0x353358	昇格	승격
0x353360	降格	강등
0x353368	指揮	지휘
0x353370	空位任命	공석임명
0x353380	昇格任命	승격임명
0x353390	全解任	전해임
0x353398	能力切替	능력전환
0x3533A8	アイテム	아이템
0x3533B8	種類	종류
0x3533C0	能力	능력
0x3533C8	兵法	병법
0x3533D0	効果	효과
0x3533D8	委任内容	위임내용
0x3533E8	%2d都市	%2d도시
0x3533F0	委任方針	위임방침
0x353400	新規	신규
0x353408	変更	변경
0x353410	解除	해제
0x353418	委任	위임
0x353420	内政重視	내정중시
0x353430	勢力打倒	세력타도
0x353440	施設攻略	시설공략
0x353450	総兵士	총병사
0x353458	委任金	위임금
0x353460	委任兵糧	위임병량
0x353470	君主金	군주금
0x353478	君主兵糧	군주병량
0x353488	君主軍団	군주군단
0x353498	君主知力	군주지력
0x3534A8	軍師知力	군사지력
0x3534B8	大将統率	대장통솔
0x3534C8	民心	민심
0x3534D0	収益	수익
0x3534D8	収穫	수확
0x3534E0	状態	상태
0x3534E8	工作物	공작물
0x3534F0	陸上	육상
0x3534F8	水上	수상
0x353500	説明	설명
0x353508	敵接近時	적접근시
0x353518	自主退却	자주퇴각
0x353528	追撃	추격
0x353530	攻撃	공격
0x353538	無視	무시
0x353540	許可	허가
0x353548	不可	불가
0x353550	退却	퇴각
0x353558	%s建設	%s건설
0x353560	出陣時期	출진시기
0x353570	贈呈内容	증정내용
0x353580	静観	관망
0x353588	%d日	%d일
0x353590	{ESC}[30m到着予定{ESC}[7m %3d{ESC}[30m日{ESC}[m	{ESC}[30m도착예정{ESC}[7m %3d{ESC}[30m일{ESC}[m
0x3535B0	{ESC}[30m到着予定    日{ESC}[m	{ESC}[30m도착예정    일{ESC}[m
0x3535C8	%d日後	%d일후
0x3535D0	対象	대상
0x3535D8	他%2d	외%2d
0x353618	はい	예
0x353620	いいえ	아니요
0x353628	閉じる	닫기
0x353630	なし	없음
0x3537C8	険悪	험악
0x3537D0	不和	불화
0x3537D8	中立	중립
0x3537E0	好意	호의
0x3537E8	信頼	신뢰
0x3537F0	通常委任	일반위임
0x353800	内政重視	내정중시
0x353810	勢力打倒	세력타도
0x353820	施設攻略	시설공략
0x353830	君主	군주
0x353838	都督	도독
0x353840	軍師	군사
0x353848	一般	일반
0x353850	捕虜	포로
0x353858	在野	재야
0x353860	未発	미발
0x353868	待機	대기
0x353870	死亡	사망
0x353880	統率	통솔
0x353888	武力	무력
0x353890	知力	지력
0x353898	政治	정치
0x3538A0	男	남
0x3538A8	女	여
0x3538B0	猪突	저돌
0x3538B8	剛胆	대담
0x3538C0	冷静	냉정
0x3538C8	慎重	신중
0x3538D0	良	양호
0x3538D8	軽傷	경상
0x3538E0	重傷	중상
0x3538E8	前列	전열
0x3538F0	中列	중열
0x3538F8	後列	후열
0x353900	都市	도시
0x353908	港	항
0x353910	関	관
0x353918	陣	진
0x353920	砦	채
0x353928	櫓	노
0x353930	城塞	성채
0x353938	柵	책
0x353940	土砂	토사
0x353948	土塁	토루
0x353950	石兵	석병
0x353958	不在	부재
0x353960	駐在	주재
0x353968	常駐	상주
0x353970	歩兵	보병
0x353978	騎兵	기병
0x353980	弓騎	궁기
0x353988	弩兵	노병
0x353990	水軍	수군
0x353998	攻城	공성
0x3539A0	知識	지식
0x3539A8	謀略	모략
0x3539B0	策略	책략
0x3539B8	武将	무장
0x3539C0	部隊	부대
0x3539C8	施設	시설
0x3539D0	勢力	세력
0x3539D8	なし	없음
0x3539E0	歩兵系兵法が発動しやすい	보병계 병법이 잘 발동됨
0x353A00	歩兵系兵法が発動しやすい⏎敵武将を捕まえやすい	보병계 병법 발동이 쉬움⏎적장을 붙잡기 쉬움
0x353A30	騎兵系兵法が発動しやすい	기병계 병법이 잘 발동됨
0x353A50	騎兵系兵法が発動しやすい⏎一騎討ちが起こりやすい	기병계 병법 발동이 쉬움⏎일기토가 일어나기 쉬움
0x353A80	騎兵、弓騎系兵法が発動しやすい	기병, 궁기계 병법이 잘 발동됨
0x353AA0	騎兵、弓騎系兵法が発動しやすい⏎兵法が連鎖しやすい	기병・궁기계 병법 발동이 쉬움⏎병법 연쇄가 쉬움
0x353AE0	弩兵系兵法が発動しやすい	노병계 병법이 잘 발동됨
0x353B00	弩兵、弓騎系兵法が発動しやすい⏎狙撃しやすい	노병・궁기계 병법 발동이 쉬움⏎저격이 쉬움
0x353B30	状態異常になりにくい⏎兵士が死亡しにくい	상태 이상에 강함⏎병사 손실이 적음
0x353B60	歩兵系兵法に弱い	보병계 병법 취약
0x353B80	兵法「矢雨」を発動する	병법 「시우」를 발동함
0x353BA0	兵法「強襲」を発動する	병법 「강습」을 발동함
0x353BC0	兵法「矢嵐」を発動する	병법 「난사」를 발동함
0x353BE0	兵法「強攻」「矢嵐」を発動する	병법 「강공」「난사」를 발동함
0x353C00	名馬	명마
0x353C08	武器	무기
0x353C10	兵書	병서
0x353C18	政書	정서
0x353C20	史書	사서
0x353C28	経書	경서
0x353C30	論文	논문
0x353C38	地図	지도
0x353C40	医書	의서
0x353C48	奇書	기서
0x353C50	玉璽	옥새
0x353C58	宝物	보물
0x353C60	装飾	장식
0x353C68	護符	호부
0x353C70	退却確実	퇴각보장
0x353C80	信望+100	신망+100
0x353C90	未使用	미사용
0x353C98	通常	일반
0x353CA0	交戦	교전
0x353CA8	足止	저지
0x353CB0	偽報	위보
0x353CB8	無陣	무진
0x353CC0	混乱	혼란
0x353CC8	潰走	궤주
0x353CD0	高揚	고양
0x353CD8	巡察	순찰
0x353CE0	商業	상업
0x353CE8	開墾	개간
0x353CF0	改修	개수
0x353CF8	徴兵	징병
0x353D00	訓練	훈련
0x353D08	購入	구입
0x353D10	売却	매각
0x353D18	撤去	철거
0x353D20	出陣	출진
0x353D28	建設	건설
0x353D30	輸送	수송
0x353D38	委任	위임
0x353D40	軍師	군사
0x353D48	爵位	작위
0x353D50	褒美	포상
0x353D58	授与	수여
0x353D60	没収	몰수
0x353D68	処断	처단
0x353D70	追放	추방
0x353D78	方針決定	방침결정
0x353D88	育成	육성
0x353D90	呼寄	호출
0x353D98	移動	이동
0x353DA0	探索	탐색
0x353DA8	登用	등용
0x353DB0	偽報	위보
0x353DB8	撹乱	교란
0x353DC0	激励	격려
0x353DC8	救援	구원
0x353DD0	離間	이간
0x353DD8	焼討	화공
0x353DE0	奪取	탈취
0x353DE8	流言	유언
0x353DF0	贈呈	증정
0x353DF8	要請	요청
0x353E00	返還	반환
0x353E08	勧告	권고
0x353E10	帰還	귀환
0x353E18	攻撃	공격
0x353E20	進軍	진군
0x353E28	陣	진
0x353E30	砦	채
0x353E38	櫓	노
0x353E40	城塞	성채
0x353E48	柵	책
0x353E50	柵	책
0x353E58	土砂	토사
0x353E60	土砂	토사
0x353E68	土塁	토루
0x353E70	土塁	토루
0x353E78	石兵	석병
0x353E80	輸送	수송
0x353E88	退却	퇴각
0x353E90	捕虜処遇	포로처우
0x353EA0	仕官処遇	사관처우
0x353EB0	捕虜	포로
0x353EB8	引抜	영입
0x353EC0	部隊	부대
0x353EC8	迎撃	요격
0x353ED0	援軍	원군
0x353ED8	占領	점령
0x353EE0	売買	매매
0x353EE8	方針	방침
0x353EF0	暇人	유휴
0x353EF8	勧告回答	권고회답
0x353F08	贈呈回答	증정회답
0x353F18	返還決断	반환결단
0x353F28	返還回答	반환회답
0x353F38	要請決断	요청결단
0x353F48	要請回答	요청회답
0x353F58	在野登用	재야등용
0x353F68	布陣	포진
0x353F70	配置	배치
0x353F78	兵法	병법
0x353F80	能力	능력
0x353F88	内政選択	내정선택
0x353F98	初級	초급
0x353FA0	上級	상급
0x353FA8	短い	짧게
0x353FB0	普通	보통
0x353FB8	一時停止	일시정지
0x353FC8	速い	빠름
0x353FD0	普通	보통
0x353FD8	遅い	느림
0x353FE0	史実	사실
0x353FE8	仮想	가상
0x353FF0	通常	일반
0x353FF8	ｉｆ	IF 
0x354000	新	신
0x354018	南北	남북
0x354020	東西	동서
0x354078	森	숲
0x354080	土	흙
0x354088	草	풀
0x354090	湿地	습지
0x354098	水域	수역
0x3540A0	橋	교
0x3540A8	岩	암
0x3540B0	浅瀬	여울
0x3540B8	ステレオ	스테레오
0x3540C8	モノラル	모노
0x3540D8	標準	표준
0x3540E0	内政	내정
0x3540E8	勢力打倒	세력타도
0x3540F8	施設攻略	시설공략
0x354108	州制覇	주제패
0x354110	輸送	수송
0x354118	軍備	군비
0x354120	{ESC}[25b太公望{ESC}[b・釣魚台	{ESC}[25b태공망{ESC}[b・조어대
0x354138	{ESC}[25b張良{ESC}[b	{ESC}[25b장량{ESC}[b
0x354148	博浪沙	박랑사
0x354150	楚・{ESC}[25b荘王{ESC}[b	초・{ESC}[25b장왕{ESC}[b
0x354168	{ESC}[25b屈原{ESC}[b	{ESC}[25b굴원{ESC}[b
0x354178	{ESC}[25b子産{ESC}[b	{ESC}[25b자산{ESC}[b
0x354188	{ESC}[25b介子推{ESC}[b	{ESC}[25b개자추{ESC}[b
0x354198	{ESC}[25b項羽{ESC}[b	{ESC}[25b항우{ESC}[b
0x3541A8	伏波将軍	복파장군
0x3541B8	馬陵の戦	마릉전투
0x3541C8	長平の戦	장평전투
0x3541D8	{ESC}[25b田単{ESC}[b	{ESC}[25b전단{ESC}[b
0x3541E8	{ESC}[25b養由基{ESC}[b	{ESC}[25b양유기{ESC}[b
0x3541F8	{ESC}[25b李広{ESC}[b	{ESC}[25b이광{ESC}[b
0x354208	{ESC}[25b孫濱{ESC}[b	{ESC}[25b손빈{ESC}[b
0x354218	{ESC}[25b太公望{ESC}[b	{ESC}[25b태공망{ESC}[b
0x354228	{ESC}[25b黄石公{ESC}[b	{ESC}[25b황석공{ESC}[b
0x354240	{ESC}[25b司馬穣且{ESC}[b	{ESC}[25b사마양저{ESC}[b
0x354258	{ESC}[25b呉起{ESC}[b	{ESC}[25b오기{ESC}[b
0x354268	{ESC}[25b信陵君{ESC}[b	{ESC}[25b신릉군{ESC}[b
0x354278	{ESC}[25b管仲{ESC}[b	{ESC}[25b관중{ESC}[b
0x354288	{ESC}[25b晏嬰{ESC}[b	{ESC}[25b안영{ESC}[b
0x354298	{ESC}[25b商鞅{ESC}[b	{ESC}[25b상앙{ESC}[b
0x3542A8	{ESC}[25b呂不韋{ESC}[b	{ESC}[25b여불위{ESC}[b
0x3542C0	淮南王・{ESC}[25b劉安{ESC}[b	회남왕・{ESC}[25b유안{ESC}[b
0x3542D8	{ESC}[25b孔丘{ESC}[b	{ESC}[25b공구{ESC}[b
0x3542E8	{ESC}[25b老子{ESC}[b	{ESC}[25b노자{ESC}[b
0x3542F8	{ESC}[25b荘周{ESC}[b	{ESC}[25b장주{ESC}[b
0x354308	容認	용인
0x354310	処断	처단
0x354318	承諾	승낙
0x354320	拒否	거부
0x354328	白虎	백호
0x354330	凶虎	흉호
0x354338	暴虎	폭호
0x354340	塩田	염전
0x354348	織物	직물
0x354350	流通	유통
0x354358	貿易	무역
0x354360	放牧	방목
0x354368	鉄鉱	철광
0x354370	農地	농지
0x354378	果樹	과수
0x354380	干害	가뭄
0x354388	洪水	홍수
0x354390	凶作	흉작
0x354398	疫病	역병
0x3543A0	重傷	중상
0x3543A8	馬賊	마적
0x3543B0	山賊	산적
0x3543B8	海賊	해적
0x3543C0	盗賊	도적
0x3543C8	江賊	수적
0x3543D0	擁立する	옹립한다
0x3543E0	廃立する	폐립한다
0x3543F0	承諾	승낙
0x3543F8	断念	단념
0x354400	戦う	전투
0x354408	逃走	도주
0x354410	討伐	토벌
0x354418	無視	무시
0x354420	無視	무시
0x354428	処断	처단
0x354430	承諾	승낙
0x354438	斬る	벤다
0x354440	商人	상인
0x354448	役人	관리
0x354450	金%dを施す	금 %d 지원
0x354460	兵糧%dを施す	병량 %d 지원
0x354470	無視	무시
0x354478	承諾	승낙
0x354480	追加要求	추가요구
0x354490	拒否	거부
0x354498	承諾	승낙
0x3544A0	金銭要求	금전요구
0x3544B0	拒否	거부
0x3544B8	承諾	승낙
0x3544C0	拒否	거부
0x3544C8	処断	처단
0x3544D0	武力解決	무력해결
0x3544E0	頭脳解決	지혜해결
0x3544F0	拒否	거부
0x3544F8	馬賊	마적
0x354500	山賊	산적
0x354508	江賊	수적
0x354510	武力仲裁	무력중재
0x354520	平和仲裁	평화중재
0x354530	無視	무시
0x354538	討伐	토벌
0x354540	金%dで懐柔	금 %d 회유
0x354550	拒否	거부
0x354558	エラー	오류
0x354560	虎	범
0x354568	熊	곰
0x354570	大蛇	왕뱀
0x354578	承諾	승낙
0x354580	拒否	거부
0x354588	商人処断	상인처단
0x354598	武力解決	무력해결
0x3545A8	頭脳解決	지혜해결
0x3545B8	拒否	거부
0x3545C0	保護する	보호한다
0x3545D0	処断する	처단한다
0x3545E0	見逃す	봐준다
0x3545E8	処罰する	처벌한다
0x3545F8	利用する	이용한다
0x354608	追い返す	쫓아낸다
0x354618	利用する	이용한다
0x354628	処断する	처단한다
0x354638	届ける	보낸다
0x354640	届けない	그만둔다
0x354650	追求する	추궁한다
0x354660	追求しない	그만둔다
0x354670	迎える	모신다
0x354678	追い返す	쫓아낸다
0x3546B0	未	미
0x3546B8	済	완
0x3547E0	進行ﾌｪｲｽﾞ	진행페이즈
0x3547F0	頁	쪽
0x354890	即決	즉결
0x354898	大志	대망
0x3548A0	忠義	충의
0x3548A8	臨機	유연
0x3548B0	功名	공명
0x3548B8	我道	독행
0x3548C0	奮戦	분전
0x3548C8	奮闘	분투
0x3548D0	奮迅	분신
0x3548D8	突破	돌파
0x3548E0	突進	돌진
0x3548E8	突撃	돌격
0x3548F0	騎射	기사
0x3548F8	走射	주사
0x354900	飛射	비사
0x354908	斉射	제사
0x354910	連射	연사
0x354918	連弩	연노
0x354920	蒙衝	몽충
0x354928	楼船	누선
0x354930	闘艦	투함
0x354938	井闌	정란
0x354940	衝車	충차
0x354948	投石	투석
0x354950	象兵	상병
0x354958	造営	조영
0x354960	石兵	석병
0x354968	罠破	간파
0x354970	教唆	선동
0x354978	混乱	혼란
0x354980	罠	덫
0x354988	心攻	심공
0x354990	幻術	환술
0x354998	罵声	야유
0x3549A0	鼓舞	고무
0x3549A8	治療	치료
0x3549B0	妖術	요술
0x3549B8	矢雨	시우
0x3549C0	矢嵐	난사
0x3549C8	強襲	강습
0x3549D0	強攻	강공
0x3549D8	穴罠	함정
0x3549E0	火罠	불덫
0x3549E8	水罠	물덫
0x3549F0	岩罠	돌덫
0x3549F8	落石	낙석
0x354A00	射台	사대
0x354A08	環境設定	환경설정
0x354A18	難易度	난이도
0x354A20	モード	모드
0x354A28	メッセージ表示	메시지 표시
0x354A38	ＢＧＭ音量	BGM 음량
0x354A48	効果音音量	효과 음량
0x354A58	振動機能	진동기능
0x354A68	境界線	경계선
0x354A70	レーダーマップ	레이더 맵
0x354A80	画面調整	화면조정
0x354A90	担当君主	담당군주
0x354AA0	兵法画面	병법화면
0x354AB0	サウンド設定	사운드 설정
0x354AC0	スピーカータイプ	스피커 타입
0x354AD8	設定完了	설정완료
0x354AE8	カーソル速度	커서 속도
0x354AF8	登録武将作成	등록무장작성
0x354B08	登録武将変更	등록무장변경
0x354B18	登録武将削除	등록무장삭제
0x354B28	三國志Ⅷ読込	삼국지Ⅷ로드
0x354B38	生年一括調整	생년일괄조정
0x354B48	保存する	저장
0x354B60	登録武将数  %3d/100	등록무장수  %3d/100
0x354B78	新武将登録	신무장등록
0x354B88	名前	이름
0x354B90	性別	성별
0x354B98	顔	얼굴
0x354BA0	生年	생년
0x354BA8	内面	내면
0x354BB0	関係	관계
0x354BB8	能力	능력
0x354BC0	兵法	병법
0x354BC8	勢力選択	세력선택
0x354BD8	新勢力作成	신세력작성
0x354BE8	武将配置	무장배치
0x354BF8	配置取消	배치취소
0x354C08	登場武将	등장무장
0x354C18	勢力選択	세력선택
0x354C28	新勢力作成	신세력작성
0x354C38	変更	변경
0x354C40	削除	삭제
0x354C48	勢力変更	세력변경
0x354C58	本拠変更	본거변경
0x354C68	チュートリアル	튜토리얼
0x354C98	ムービー鑑賞	동영상 감상
0x354CA8	ＢＧＭ鑑賞	BGM 감상
0x354CC0	アイテムコレクション	아이템 컬렉션
0x354CD8	環境設定	환경설정
0x354CE8	開始前確認	최종 확인
0x354CF8	新勢力変更	신세력변경
0x354D08	勢力選択	세력선택
0x354D18	都市選択	도시선택
0x354D28	クリア条件	클리어조건
0x354D38	新武将登録	신무장등록
0x354D48	武将作成	무장작성
0x354D58	名前入力	이름입력
0x354D68	顔選択	얼굴
0x354D70	生年設定	생년설정
0x354D80	内面設定	내면설정
0x354D90	関係設定	관계설정
0x354DA0	能力設定	능력설정
0x354DB0	兵法設定	병법설정
0x354DC0	アイテム閲覧	아이템 열람
0x354DD0	アイテム情報	아이템정보
0x354DE0	サウンド設定	사운드 설정
0x354DF0	エキスパート設定	고급 설정
0x354E08	敵戦力の設定	적 전력 설정
0x354E18	ストーリー選択	스토리 선택
0x354E28	ステージ選択	스테이지선택
0x354E38	新アイテム登録	신아이템 등록
0x354E48	アイテム作成	아이템작성
0x354E58	ＣＧ選択	CG선택
0x354E68	種類選択	종류선택
0x354E78	忠誠設定	충성설정
0x354E88	兵法選択	병법선택
0x354E98	武将編集	무장편집
0x354EA8	個人設定	개인설정
0x354EB8	性格設定	성격설정
0x354EC8	漢字	한글
0x354EE0	英数	영문
0x354EE8	記号	기호
0x354EF0	その他	기타
0x354F08	相性	상성
0x354F10	設定	설정
0x354F18	消去	해제
0x354F30	信念	신념
0x354F38	性格	성격
0x354F40	死亡	사망
0x354F48	削除	삭제
0x354F50	新武将データの空きがありません⏎	신무장 데이터 빈 칸이 없습니다⏎
0x354F70	本当に削除しますか？	정말 지우시겠습니까?
0x354F88	歳	세
0x354F90	シナリオ	시나리오
0x354FA0	登場年	등장년
0x354FA8	同年齢武将	동갑 무장
0x354FB8	登録武将の生年	등록무장 생년
0x354FC8	年生	년생
0x354FE0	兵法P	병법P
0x354FE8	担当勢力	담당세력
0x354FF8	期間	기간
0x355000	勝利条件	승리조건
0x355010	敗北条件	패배조건
0x355020	アイテム収集率	아이템 수집률
0x355030	チャレンジ	챌린지
0x355040	%d人	%d명
0x355048	ページ	페이지
0x355050	名称	명칭
0x355058	種別	종별
0x355060	インストール	설치
0x355070	アンインストール	제거
0x355090	攻略難度	공략난도
0x3550A0	次へ	다음
0x3550A8	作成完了	작성완료
0x3550B8	変更完了	변경완료
0x3550C8	設定完了	설정완료
0x3550D8	入力完了	입력완료
0x3550F8	とても難しい	매우 어려움
0x355108	難しい	어려움
0x355110	普通	보통
0x355118	易しい	쉬움
0x355120	とても易しい	매우 쉬움
0x355138	大陸制覇型	대륙제패형
0x355148	国内繁栄型	국내번영형
0x355158	セーブ	세이브
0x355160	ロード	로드
0x355168	フォーマット	포맷하기
0x355180	新しくゲームを始める	새 게임 시작
0x3551A0	データをロードする	데이터 로드
0x3551C0	チュートリアルを始める	튜토리얼 시작
0x3551E0	チャレンジモードを始める	챌린지 모드 시작
0x355200	新武将・新アイテムを登録する	신무장・신아이템 등록
0x355220	武将を編集する	무장 편집
0x355230	ギャラリーを鑑賞する	갤러리 감상
0x355280	チャレンジシナリオを始める	챌린지 시나리오 시작
0x3552A0	トライアルストーリーを始める	트라이얼 스토리 시작
0x3552C0	新武将を登録する	신무장 등록
0x3552E0	新アイテムを登録する	신아이템 등록
0x355300	ムービーを鑑賞する	동영상 감상
0x355320	ＢＧＭを鑑賞する	ＢＧＭ 감상
0x355340	アイテムコレクションを見る	아이템 컬렉션 보기
0x355360	セーブ	세이브
0x355368	ロード	로드
0x355370	フォーマット	포맷하기
0x355388	登録武将セーブ	등록무장세이브
0x355398	登録武将ロード	등록무장 로드
0x3553A8	環境設定ロード	환경설정 로드
0x3553C0	アイテムコレクションロード	아이템 컬렉션 로드
0x3553E0	イベントコレクションロード	이벤트 컬렉션 로드
0x355400	ゲームクリア履歴ロード	게임 클리어기록 로드
0x355420	セーブ情報ロード	세이브 정보 로드
0x355438	共通設定ロード	공통설정 로드
0x355448	セーブ	세이브
0x355450	アイテムコレクションセーブ	아이템 컬렉션 세이브
0x355470	イベントコレクションセーブ	이벤트 컬렉션 세이브
0x355490	ゲームクリア履歴セーブ	게임 클리어기록 세이브
0x3554A8	武将編集セーブ	무장편집세이브
0x3554B8	武将編集ロード	무장편집 로드
0x3554D0	登録アイテムセーブ	등록 아이템 세이브
0x3554F0	登録アイテムロード	등록 아이템 로드
0x355510	トライアルストーリークリア履歴ロード	트라이얼 스토리 클리어기록 로드
0x355540	トライアルストーリークリア履歴セーブ	트라이얼 스토리 클리어기록 세이브
0x355570	登録アイテム作成	등록 아이템 작성
0x355590	登録アイテム変更	등록 아이템 변경
0x3555B0	登録アイテム削除	등록 아이템 삭제
0x3555C8	保存する	저장
0x3555E0	登録アイテム数  %2d/50	등록 아이템 수  %2d/50
0x3555F8	名前	이름
0x355608	種類	종류
0x355610	能力	능력
0x355618	兵法	병법
0x355620	忠誠	충성
0x355628	所在	소재
0x355630	武将が所有	무장 소유
0x355640	地域に埋伏	지역 은닉
0x355650	%sが所有	%s 소유
0x355660	%sに埋伏	%s 은닉
0x355670	名前	이름
0x355678	能力	능력
0x355680	個人	개인
0x355688	性格	성격
0x355690	兵法	병법
0x355698	編集完了	편집완료
0x3556A8	兵法	병법
0x3556B0	熟練／得意	숙련/특기
0x3556C0	君主	군주
0x3556C8	都督	도독
0x3556D0	金	금
0x3556D8	兵糧	병량
0x3556E0	信望	신망
0x3556E8	友好	우호
0x3556F0	期間	기간
0x3556F8	連合	연합
0x355700	盟主	맹주
0x355708	標的	표적
0x355710	軍	군
0x355718	耐久	내구
0x355720	最大耐久	최대내구
0x355730	建業	건업
0x355740	姓	성
0x355748	名	명
0x355750	字	자
0x355760	性格	성격
0x355768	身分	신분
0x355770	忠誠	충성
0x355778	爵位	작위
0x355780	熟練	숙련
0x355788	捕虜武将	포로무장
0x355798	親	부모
0x3557A0	生年	생년
0x3557A8	移動中	이동중
0x3557B0	劉	유
0x3557B8	修行	수행
0x3557C0	兵士	병사
0x3557C8	士気	사기
0x3557D0	大将	대장
0x3557D8	命令	명령
0x3557E0	事後命令	사후명령
0x3557F0	隊	대
0x3557F8	周辺	주변
0x355800	年	년
0x355808	月	월
